subjects,n3_1,n3_2,n3_3,n3_4,n3_5,n3_6,n3_7,n3_8,n3_9,n3_10,n3_11,n3_12,n6_1,n6_2,n6_3,n6_4,n6_5,n6_6,n6_7,n6_8,n6_9,n6_10,n6_11,n6_12,test3_1,test3_2,test3_3,test3_4,test3_5,test3_6,test3_7,test3_8,test3_9,test3_10,test3_11,test3_12,test6_1,test6_2,test6_3,test6_4,test6_5,test6_6,test6_7,test6_8,test6_9,test6_10,test6_11,test6_12
4a0867,0.3333333333,0.75,1,1,0.8333333333,0.9166666667,0.9166666667,1,1,1,0.75,1,0.2222222222,0.2777777778,0.5,0.6111111111,0.5,0.6666666667,0.7222222222,0.7222222222,0.6666666667,0.7222222222,0.8333333333,0.7222222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222,0.8472222222
4de0e5,0.25,0.3333333333,0.3333333333,0.5,0.25,0.5,0.6666666667,0.25,0.5833333333,0.5833333333,0.8333333333,0.75,0.3888888889,0.4444444444,0.5555555556,0.5,0.5555555556,0.5,0.5,0.4444444444,0.6666666667,0.5555555556,0.7222222222,0.5555555556,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222
494b41,0.25,0.5833333333,0.75,0.75,0.6666666667,0.75,0.8333333333,0.8333333333,0.5833333333,0.8333333333,0.6666666667,0.8333333333,0.2777777778,0.1666666667,0.3888888889,0.2777777778,0.1666666667,0.3333333333,0.5555555556,0.3888888889,0.3333333333,0.5555555556,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444
7f13fa,0.25,0.5,0.5833333333,0.8333333333,0.8333333333,0.6666666667,0.6666666667,0.75,0.75,0.75,0.8333333333,0.8333333333,0.3333333333,0.3888888889,0.5555555556,0.5555555556,0.3333333333,0.2777777778,0.2777777778,0.5,0.5,0.3888888889,0.5,0.5,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ec93da,0.6666666667,0.9166666667,1,1,1,0.9166666667,0.75,0.9166666667,0.8333333333,1,0.8333333333,0.8333333333,0.2222222222,0.4444444444,0.6111111111,0.6111111111,0.7222222222,0.7777777778,0.7777777778,0.9444444444,0.9444444444,0.9444444444,0.9444444444,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556
3b8fcb,0.4166666667,0.5833333333,0.8333333333,0.9166666667,0.75,0.9166666667,0.8333333333,0.75,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.3333333333,0.3333333333,0.4444444444,0.2777777778,0.7222222222,0.3333333333,0.4444444444,0.6666666667,0.7222222222,0.5555555556,0.7777777778,0.8333333333,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111
db230b,0.0833333333,0.5,0.75,0.8333333333,0.6666666667,0.6666666667,0.75,0.8333333333,0.9166666667,0.8333333333,0.8333333333,0.8333333333,0.3888888889,0.2777777778,0.5,0.7222222222,0.6666666667,0.6666666667,0.7222222222,0.7777777778,0.7777777778,0.5555555556,0.6111111111,0.7222222222,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111
fae9b4,0.3333333333,0.3333333333,0.6666666667,0.6666666667,0.6666666667,0.8333333333,0.4166666667,0.75,0.75,0.9166666667,0.8333333333,0.9166666667,0.1666666667,0.2777777778,0.5,0.5,0.5,0.6666666667,0.3888888889,0.5,0.5555555556,0.6111111111,0.6666666667,0.6666666667,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111
b29fb3,0.0833333333,0.0833333333,0.6666666667,0.75,0.9166666667,1,0.9166666667,1,0.9166666667,0.9166666667,1,0.9166666667,0.2777777778,0.4444444444,0.7222222222,0.5555555556,0.7222222222,0.7777777778,0.9444444444,0.8888888889,0.7777777778,0.8888888889,0.8888888889,1,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333
956c6f,0.3333333333,0.3333333333,0.6666666667,0.5,0.6666666667,0.75,0.5833333333,0.6666666667,0.8333333333,0.8333333333,0.75,0.6666666667,0.3333333333,0.5555555556,0.6666666667,0.6666666667,0.6666666667,0.7777777778,0.5555555556,0.7777777778,0.6666666667,0.8333333333,0.7222222222,0.7222222222,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
