subjects,n3_1,n3_2,n3_3,n3_4,n3_5,n3_6,n3_7,n3_8,n3_9,n3_10,n3_11,n3_12,n6_1,n6_2,n6_3,n6_4,n6_5,n6_6,n6_7,n6_8,n6_9,n6_10,n6_11,n6_12,test3_1,test3_2,test3_3,test3_4,test3_5,test3_6,test3_7,test3_8,test3_9,test3_10,test3_11,test3_12,test6_1,test6_2,test6_3,test6_4,test6_5,test6_6,test6_7,test6_8,test6_9,test6_10,test6_11,test6_12
3b34e1,0.3333333333,0.4166666667,0.1666666667,0.3333333333,0.5,0.3333333333,0.75,0.75,0.5833333333,0.8333333333,0.75,0.9166666667,0.1666666667,0.3888888889,0.5,0.5555555556,0.2777777778,0.5555555556,0.5,0.6666666667,0.3888888889,0.6111111111,0.5,0.6111111111,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444
5a9dff,0.3333333333,0.5,0.6666666667,0.9166666667,0.9166666667,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,1,0.9166666667,0.5555555556,0.4444444444,0.5,0.5,0.5,0.5,0.4444444444,0.4444444444,0.7222222222,0.6111111111,0.7777777778,0.6111111111,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333
3a58dc,0.3333333333,0.5,0.6666666667,0.75,0.75,0.9166666667,0.75,0.6666666667,0.8333333333,1,1,0.9166666667,0.2777777778,0.6111111111,0.4444444444,0.5555555556,0.7777777778,0.7222222222,0.7222222222,0.8888888889,0.7777777778,0.8333333333,0.9444444444,0.8888888889,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333
6ac4c9,0.0833333333,0.25,0.75,0.6666666667,0.8333333333,0.9166666667,0.9166666667,0.9166666667,0.8333333333,0.9166666667,0.9166666667,0.75,0.5,0.3888888889,0.5555555556,0.6111111111,0.5555555556,0.5555555556,0.5,0.6111111111,0.5,0.6111111111,0.6111111111,0.4444444444,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
d365ca,0.3333333333,0.75,0.5833333333,0.6666666667,0.75,0.75,0.9166666667,0.8333333333,0.6666666667,0.75,0.8333333333,0.9166666667,0.2222222222,0.2222222222,0.2777777778,0.3333333333,0.2222222222,0.4444444444,0.2777777778,0.3333333333,0.3888888889,0.5555555556,0.3888888889,0.3333333333,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
e79ca6,0.4166666667,0.4166666667,0.5,0.9166666667,0.9166666667,0.8333333333,1,0.9166666667,0.9166666667,1,0.8333333333,0.9166666667,0.2222222222,0.4444444444,0.5555555556,0.7777777778,0.6666666667,0.7777777778,0.8333333333,0.8888888889,0.8888888889,0.7777777778,1,1,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667
276aa7,0.0833333333,0.25,0.3333333333,0.4166666667,0.75,0.9166666667,0.6666666667,0.8333333333,0.75,0.75,1,0.75,0.4444444444,0.3333333333,0.4444444444,0.4444444444,0.6666666667,0.4444444444,0.6111111111,0.5555555556,0.5,0.5555555556,0.6666666667,0.5555555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222
44d9df,0.5833333333,0.9166666667,0.75,0.75,0.9166666667,0.6666666667,0.8333333333,0.8333333333,0.9166666667,0.75,0.8333333333,0.9166666667,0.2777777778,0.2777777778,0.3888888889,0.4444444444,0.5555555556,0.5,0.6666666667,0.7222222222,0.6666666667,0.7222222222,0.9444444444,0.8888888889,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333
f50b86,0.4166666667,0.5833333333,0.75,0.6666666667,1,0.8333333333,1,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.75,0.4444444444,0.4444444444,0.5555555556,0.8333333333,0.5,0.5,0.7222222222,0.4444444444,0.6111111111,0.7222222222,0.8888888889,0.5555555556,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111
3e092f,0.5833333333,0.5833333333,0.8333333333,0.75,0.6666666667,0.8333333333,0.75,0.6666666667,0.8333333333,0.9166666667,0.9166666667,0.9166666667,0.4444444444,0.6111111111,0.6111111111,0.7777777778,0.7222222222,0.7222222222,0.5555555556,0.6111111111,0.4444444444,0.5555555556,0.6666666667,0.6666666667,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333
3e1cd3,0.5,0.5833333333,0.8333333333,0.75,0.75,0.8333333333,0.6666666667,0.8333333333,0.8333333333,1,0.75,0.8333333333,0.2222222222,0.3888888889,0.3888888889,0.2777777778,0.5,0.3888888889,0.4444444444,0.5555555556,0.3888888889,0.4444444444,0.5555555556,0.5555555556,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556
21eb24,0.5,0.5833333333,0.6666666667,0.75,0.9166666667,0.6666666667,1,0.8333333333,0.9166666667,1,0.6666666667,0.8333333333,0.3888888889,0.2777777778,0.5,0.6111111111,0.2777777778,0.2777777778,0.4444444444,0.7222222222,0.7777777778,0.8888888889,0.6111111111,0.7777777778,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556
2e3afd,0.3333333333,0.5,0.4166666667,0.75,0.75,0.8333333333,0.8333333333,0.8333333333,0.9166666667,1,0.8333333333,0.9166666667,0.3888888889,0.4444444444,0.4444444444,0.4444444444,0.3333333333,0.5555555556,0.7222222222,0.6111111111,0.5555555556,0.5555555556,0.6666666667,0.7777777778,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
cd868c,0.4166666667,0.4166666667,0.6666666667,0.75,1,0.8333333333,0.9166666667,0.8333333333,0.75,1,1,0.8333333333,0.4444444444,0.3333333333,0.5,0.5555555556,0.7777777778,0.5,0.5555555556,0.7222222222,0.8333333333,0.8888888889,0.7777777778,0.6666666667,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222
64fd87,0.4166666667,0.25,0.5,0.3333333333,0.5833333333,0.75,0.6666666667,0.75,0.75,0.6666666667,0.6666666667,0.6666666667,0.3333333333,0.5,0.6666666667,0.5,0.6666666667,0.7222222222,0.7777777778,0.6111111111,0.7222222222,0.6111111111,0.7777777778,0.7222222222,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333
41e9db,0.6666666667,0.4166666667,0.4166666667,0.5,0.75,0.75,0.9166666667,0.6666666667,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.5555555556,0.4444444444,0.6666666667,0.5,0.3333333333,0.6111111111,0.7222222222,0.6111111111,0.6111111111,0.6111111111,0.5,0.5555555556,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444
a6eb4f,0,0.4166666667,0.5833333333,0.25,0.3333333333,0.1666666667,0.5,0.3333333333,0.3333333333,0.3333333333,0.1666666667,0.1666666667,0.2777777778,0.3888888889,0.5,0.3333333333,0.1111111111,0.3333333333,0.4444444444,0.3333333333,0.1666666667,0.3888888889,0.3888888889,0.3888888889,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778
1a8880,0.25,0.1666666667,0.4166666667,0.25,0.4166666667,0.3333333333,0.25,0.3333333333,0.4166666667,0.4166666667,0.0833333333,0.0833333333,0.2777777778,0.5555555556,0.5555555556,0.3333333333,0.2777777778,0.3888888889,0.2777777778,0.5,0.0555555556,0.3333333333,0.3333333333,0.3888888889,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667
e45925,0.3333333333,0.3333333333,0.5833333333,0.75,0.5833333333,0.8333333333,0.75,0.8333333333,0.9166666667,0.9166666667,0.8333333333,1,0.3333333333,0.6666666667,0.5555555556,0.5555555556,0.7777777778,0.6666666667,0.8333333333,0.8333333333,0.7777777778,0.8333333333,0.7777777778,0.7777777778,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111
9d169e,0.5833333333,0.5833333333,0.5,0.6666666667,0.9166666667,0.8333333333,0.6666666667,0.75,0.6666666667,0.8333333333,0.75,0.75,0.2777777778,0.3333333333,0.4444444444,0.5,0.3333333333,0.4444444444,0.5555555556,0.3888888889,0.7777777778,0.6666666667,0.5,0.3888888889,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778
4b23ba,0.6666666667,0.5833333333,0.75,0.75,1,0.75,1,1,1,0.9166666667,0.8333333333,0.9166666667,0.3333333333,0.3888888889,0.2777777778,0.4444444444,0.6111111111,0.7222222222,0.6111111111,0.8333333333,0.7777777778,0.5,0.8888888889,0.8333333333,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1c43d2,0.5833333333,0.4166666667,0.6666666667,0.6666666667,0.5833333333,0.9166666667,0.6666666667,0.8333333333,0.5833333333,0.75,0.8333333333,0.9166666667,0.2777777778,0.5555555556,0.2777777778,0.3888888889,0.4444444444,0.3888888889,0.3333333333,0.4444444444,0.5555555556,0.3888888889,0.5,0.5,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778
42bc7d,0.5,0.4166666667,0.75,0.9166666667,0.75,0.75,0.9166666667,1,1,0.9166666667,1,0.9166666667,0.3888888889,0.4444444444,0.4444444444,0.6111111111,0.6666666667,0.7222222222,0.7777777778,0.8333333333,0.8888888889,0.8333333333,0.8888888889,1,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333
aff355,0.6666666667,0.5,0.75,0.75,0.8333333333,0.8333333333,0.8333333333,1,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.4444444444,0.1666666667,0.4444444444,0.5555555556,0.5,0.6111111111,0.4444444444,0.3888888889,0.5,0.6111111111,0.5,0.5555555556,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667
335435,0.3333333333,0.25,0.6666666667,0.5833333333,0.75,1,0.6666666667,0.6666666667,0.5833333333,0.6666666667,0.6666666667,0.75,0.1666666667,0.4444444444,0.3888888889,0.3333333333,0.1111111111,0.2777777778,0.2777777778,0.6111111111,0.3333333333,0.3333333333,0.2777777778,0.5,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667
63b743,0.6666666667,0.8333333333,0.8333333333,0.9166666667,1,0.75,1,1,0.9166666667,1,1,0.9166666667,0.2777777778,0.6111111111,0.6111111111,0.7777777778,0.7777777778,0.7777777778,0.8888888889,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111
8a4e10,0.5,0.5833333333,0.75,0.75,0.75,0.75,1,0.75,0.8333333333,0.8333333333,1,0.8333333333,0.2777777778,0.5555555556,0.5,0.5555555556,0.7222222222,0.8333333333,0.7777777778,0.8888888889,0.8888888889,0.8333333333,0.8333333333,0.8888888889,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667
ae2ba7,0.25,0.1666666667,0.25,0.5833333333,0.9166666667,0.5833333333,0.6666666667,0.6666666667,0.4166666667,0.75,0.6666666667,0.5833333333,0.3333333333,0.3888888889,0.5,0.5,0.5555555556,0.2777777778,0.4444444444,0.5,0.3333333333,0.2777777778,0.2222222222,0.3888888889,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333,0.4583333333
643240,0.5833333333,0.8333333333,0.9166666667,1,0.75,0.6666666667,0.9166666667,0.9166666667,0.9166666667,0.8333333333,0.8333333333,0.8333333333,0.2222222222,0.1111111111,0.1666666667,0.3333333333,0.4444444444,0.4444444444,0.5555555556,0.6111111111,0.7222222222,0.6666666667,0.7222222222,0.7777777778,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667
c9d9d4,0.3333333333,0.25,0.5833333333,0.5,0.5,0.8333333333,0.5833333333,0.75,0.75,1,0.9166666667,1,0.2777777778,0.3888888889,0.5,0.5,0.5,0.5555555556,0.5555555556,0.6111111111,0.6111111111,0.7222222222,0.6666666667,0.7222222222,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778
941af8,0.4166666667,0.6666666667,0.75,0.8333333333,0.8333333333,0.9166666667,0.8333333333,0.9166666667,0.9166666667,0.8333333333,0.9166666667,0.75,0.3888888889,0.3888888889,0.6111111111,0.5,0.7222222222,0.7777777778,0.7222222222,0.7222222222,0.7222222222,0.6666666667,0.5555555556,0.7222222222,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111
f3ad19,0.1666666667,0.3333333333,0.25,0.4166666667,0.6666666667,0.5,0.5833333333,0.6666666667,0.75,0.75,0.75,0.8333333333,0.3333333333,0.3333333333,0.5,0.5555555556,0.6666666667,0.7222222222,0.7222222222,0.6666666667,0.5,0.7222222222,0.6111111111,0.7777777778,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6944444444,0.6944444444,0.6944444444,0.6944444444,0.6944444444,0.6944444444,0.6944444444,0.6944444444,0.6944444444,0.6944444444,0.6944444444,0.6944444444
6251fe,0.1666666667,0.25,0.5,0.4166666667,0.4166666667,0.5833333333,0.6666666667,0.5833333333,0.5833333333,0.9166666667,0.8333333333,0.8333333333,0.5555555556,0.4444444444,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.5,0.3333333333,0.5,0.0555555556,0.3333333333,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667
ad330a,0.3333333333,0.5833333333,0.5,0.75,0.75,0.6666666667,0.75,0.9166666667,0.75,1,0.9166666667,1,0.2222222222,0.3333333333,0.3888888889,0.4444444444,0.6111111111,0.5,0.7222222222,0.6111111111,0.8333333333,0.8333333333,0.7222222222,0.8333333333,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889
60b518,0.75,0.75,0.9166666667,0.6666666667,0.75,0.8333333333,0.9166666667,0.9166666667,0.75,0.75,0.9166666667,1,0.3333333333,0.6666666667,0.6666666667,0.7777777778,1,0.8888888889,0.7777777778,0.6666666667,0.9444444444,0.6666666667,0.6111111111,0.7777777778,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222
00ed01,0.5833333333,0.8333333333,0.8333333333,0.9166666667,0.75,0.9166666667,0.8333333333,1,1,0.8333333333,1,0.8333333333,0.2777777778,0.6666666667,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.7777777778,1,0.8888888889,0.9444444444,1,0.8888888889,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.9861111111,0.9861111111,0.9861111111,0.9861111111,0.9861111111,0.9861111111,0.9861111111,0.9861111111,0.9861111111,0.9861111111,0.9861111111,0.9861111111
b978e9,0.4166666667,0.8333333333,0.9166666667,0.9166666667,0.8333333333,0.9166666667,1,1,1,0.6666666667,0.9166666667,1,0.7777777778,0.8333333333,0.6666666667,0.8333333333,0.8333333333,0.8888888889,0.9444444444,0.8333333333,0.8333333333,0.8333333333,0.7777777778,0.8888888889,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556
9d78e9,0.4166666667,0.5833333333,0.5833333333,0.9166666667,1,0.9166666667,1,0.9166666667,0.9166666667,1,0.9166666667,0.75,0.2777777778,0.5,0.6111111111,0.7222222222,0.6666666667,0.7222222222,0.7777777778,0.8888888889,1,0.7777777778,1,0.8888888889,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333
ae3c5a,0.5,0.9166666667,0.6666666667,0.8333333333,0.6666666667,0.75,0.9166666667,0.8333333333,1,1,0.8333333333,0.9166666667,0.3333333333,0.4444444444,0.5555555556,0.4444444444,0.7222222222,0.7222222222,0.8333333333,0.7222222222,0.7777777778,0.6111111111,0.6666666667,0.7777777778,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
1d20 2,0.3333333333,0.3333333333,0.3333333333,0.25,0.4166666667,0.25,0.4166666667,0.3333333333,0.4166666667,0.3333333333,0.4166666667,0.4166666667,0.2777777778,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.2777777778,0.3333333333,0.3333333333,0.2777777778,0.3333333333,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222
c39ab5,0.0833333333,0.25,0.5,0.3333333333,0.5833333333,0.5,0.75,0.5833333333,0.75,0.8333333333,0.8333333333,0.6666666667,0.5555555556,0.6111111111,0.4444444444,0.5,0.3333333333,0.5555555556,0.7222222222,0.5555555556,0.5,0.7777777778,0.6666666667,0.7777777778,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889
03ef1f,0.1666666667,0.3333333333,0.5,0.5833333333,0.8333333333,0.8333333333,0.75,0.6666666667,0.9166666667,0.9166666667,0.9166666667,0.8333333333,0.2777777778,0.4444444444,0.5555555556,0.6666666667,0.8333333333,0.8888888889,0.9444444444,1,0.9444444444,0.8888888889,0.8888888889,1,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222
79a0fc,0.5833333333,0.9166666667,0.9166666667,0.75,0.8333333333,0.9166666667,1,0.9166666667,1,0.9166666667,0.8333333333,1,0.2777777778,0.5,0.5,0.6666666667,0.8333333333,0.8333333333,0.8888888889,0.8888888889,1,1,0.9444444444,0.8888888889,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889
