,0,1,2,3,4,5,6,7,8
14,"[0.30666667 0.37       0.43666667 0.58       0.60333333 0.76333333
 0.78666667 0.86       0.84333333 0.85666667 0.91       0.94333333]","[0.31166667 0.41166667 0.53333333 0.62       0.7        0.74333333
 0.85       0.85833333 0.885      0.92       0.94166667 0.94166667]","          0
0  1.000000
1  0.666667
2  1.000000
3  1.000000","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.1,4,0.2,0.2,0.6
15,"[0.33       0.45       0.46333333 0.55333333 0.65       0.75333333
 0.77333333 0.78666667 0.85       0.87333333 0.88666667 0.92      ]","[0.28       0.42666667 0.49166667 0.59666667 0.68       0.75333333
 0.84166667 0.88666667 0.89166667 0.935      0.90833333 0.94      ]","     0
0  1.0
1  1.0
2  1.0
3  1.0","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.2,4,0.2,0.2,0.6
16,"[0.33333333 0.46333333 0.51       0.56       0.66       0.68666667
 0.78       0.84       0.88666667 0.89       0.91666667 0.92      ]","[0.345      0.385      0.49333333 0.6        0.70666667 0.765
 0.85666667 0.87       0.89       0.92       0.92833333 0.95      ]","          0
0  1.000000
1  1.000000
2  1.000000
3  0.666667","          0
0  1.000000
1  0.333333
2  1.000000
3  1.000000",0.3,4,0.2,0.2,0.6
17,"[0.35       0.34       0.52333333 0.58333333 0.59       0.73
 0.79666667 0.80666667 0.85       0.92666667 0.89333333 0.94666667]","[0.335      0.44333333 0.51       0.585      0.67333333 0.745
 0.83333333 0.86333333 0.91333333 0.91833333 0.93       0.93666667]","     0
0  1.0
1  1.0
2  1.0
3  1.0","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.4,4,0.2,0.2,0.6
18,"[0.32       0.38666667 0.42       0.55666667 0.61666667 0.64333333
 0.72333333 0.79333333 0.87333333 0.87       0.91333333 0.92      ]","[0.31333333 0.40333333 0.56166667 0.61833333 0.735      0.785
 0.84333333 0.87166667 0.89833333 0.92       0.93666667 0.93333333]","     0
0  1.0
1  1.0
2  1.0
3  1.0","          0
0  1.000000
1  0.666667
2  0.666667
3  1.000000",0.5,4,0.2,0.2,0.6
19,"[0.31       0.33666667 0.46       0.56       0.6        0.71333333
 0.74666667 0.80333333 0.87       0.9        0.91666667 0.95333333]","[0.3        0.41166667 0.49833333 0.615      0.69666667 0.79166667
 0.83833333 0.86833333 0.92166667 0.9        0.94333333 0.92666667]","          0
0  1.000000
1  1.000000
2  0.666667
3  1.000000","          0
0  1.000000
1  1.000000
2  0.666667
3  1.000000",0.1,5,0.2,0.2,0.6
20,"[0.3        0.41333333 0.46666667 0.56666667 0.65       0.72
 0.83       0.79       0.85666667 0.9        0.92666667 0.91      ]","[0.34833333 0.43666667 0.48333333 0.64666667 0.675      0.74333333
 0.84166667 0.87       0.88       0.89833333 0.92333333 0.93      ]","          0
0  0.666667
1  1.000000
2  1.000000
3  1.000000","          0
0  1.000000
1  1.000000
2  1.000000
3  0.666667",0.2,5,0.2,0.2,0.6
21,"[0.34       0.43333333 0.46666667 0.63       0.61666667 0.72333333
 0.80666667 0.82       0.86666667 0.89666667 0.89666667 0.92      ]","[0.32166667 0.405      0.47833333 0.60666667 0.69166667 0.765
 0.81833333 0.85833333 0.9        0.925      0.93333333 0.95666667]","          0
0  1.000000
1  1.000000
2  0.666667
3  1.000000","          0
0  1.000000
1  1.000000
2  1.000000
3  0.666667",0.3,5,0.2,0.2,0.6
22,"[0.34333333 0.41       0.47666667 0.63       0.65       0.70333333
 0.76333333 0.82333333 0.87       0.88333333 0.93666667 0.92333333]","[0.33       0.395      0.49       0.59666667 0.7        0.77166667
 0.84166667 0.86833333 0.90166667 0.93166667 0.93333333 0.925     ]","     0
0  1.0
1  1.0
2  1.0
3  1.0","          0
0  1.000000
1  1.000000
2  0.666667
3  1.000000",0.4,5,0.2,0.2,0.6
23,"[0.37       0.35333333 0.46666667 0.55333333 0.57333333 0.69333333
 0.78333333 0.83       0.84333333 0.86       0.88666667 0.91333333]","[0.335      0.37333333 0.52666667 0.65333333 0.73166667 0.79833333
 0.83833333 0.85166667 0.9        0.92166667 0.92       0.94666667]","          0
0  1.000000
1  1.000000
2  1.000000
3  0.666667","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.5,5,0.2,0.2,0.6
