"model","setSize","model.ID","estimate","estimate.type"
"bias","s3",3334,0.0602857142857143,"slope"
"bias","s3",3335,0.257333333333333,"y-int"
"bias","s3",3335,0.0464761904714286,"slope"
"bias","s3",3336,0.146222222213333,"y-int"
"bias","s3",3336,0.107428571434286,"slope"
"bias","s3",3337,0.425333333293334,"y-int"
"bias","s3",3337,0.0280000000114285,"slope"
"bias","s3",3338,0.244222222246667,"y-int"
"bias","s3",3338,0.0565714285628571,"slope"
"bias","s3",3339,0.2853333333,"y-int"
"bias","s3",3339,0.0427619047714286,"slope"
"bias","s3",3340,0.147333333353333,"y-int"
"bias","s3",3340,0.101714285708571,"slope"
"bias","s3",3341,0.382444444386667,"y-int"
"bias","s3",3341,0.0358095238228571,"slope"
"bias","s3",3342,0.220000000013333,"y-int"
"bias","s3",3342,0.06761904762,"slope"
"bias","s3",3343,0.245555555546667,"y-int"
"bias","s3",3343,0.0538095238057143,"slope"
"bias","s3",3344,0.126666666673333,"y-int"
"bias","s3",3344,0.109047619045714,"slope"
"bias","s3",3345,0.464888888906667,"y-int"
"bias","s3",3345,0.0201904761885714,"slope"
"bias","s3",3346,0.255777777806667,"y-int"
"bias","s3",3346,0.0524761904742857,"slope"
"bias","s3",3347,0.2482222222,"y-int"
"bias","s3",3347,0.0473333333428571,"slope"
"bias","s3",3348,0.20222222222,"y-int"
"bias","s3",3348,0.0909523809514285,"slope"
"bias","s3",3349,0.3804444444,"y-int"
"bias","s3",3349,0.0254285714428571,"slope"
"bias","s3",3350,0.263777777766667,"y-int"
"bias","s3",3350,0.0563809523857143,"slope"
"bias","s3",3351,0.272222222213333,"y-int"
"bias","s3",3351,0.0447619047628571,"slope"
"bias","s3",3352,0.131999999973333,"y-int"
"bias","s3",3352,0.10895238096,"slope"
"bias","s3",3353,0.351333333373334,"y-int"
"bias","s3",3353,0.0377142857028571,"slope"
"bias","s3",3354,0.22444444444,"y-int"
"bias","s3",3354,0.0657142857171429,"slope"
"bias","s3",3355,0.260444444493333,"y-int"
"bias","s3",3355,0.0506666666542857,"slope"
"bias","s3",3356,0.199111111093333,"y-int"
"bias","s3",3356,0.0943809523828571,"slope"
"bias","s3",3357,0.44800000002,"y-int"
"bias","s3",3357,0.0191428571371428,"slope"
"bias","s3",3358,0.219777777753333,"y-int"
"bias","s3",3358,0.0656190476228572,"slope"
