,set3_learn,set6_learn,set3_test,set6_test,bll,alpha,egs,imag,ans,strtg
563,"[0.28       0.37666667 0.48       0.57333333 0.69333333 0.72666667
 0.79666667 0.87       0.87666667 0.92666667 0.92666667 0.93333333]","[0.29       0.47       0.54333333 0.66       0.71666667 0.8
 0.84333333 0.89166667 0.90666667 0.93666667 0.94666667 0.95666667]",1.0,1.0,0.3,0.25,0.3,0.3,0.4,0.09848484848484848
564,"[0.3        0.36333333 0.53333333 0.56333333 0.69       0.74666667
 0.81666667 0.87       0.91       0.90666667 0.95666667 0.95      ]","[0.29333333 0.405      0.545      0.6        0.69       0.805
 0.82666667 0.86166667 0.91       0.92333333 0.92833333 0.93166667]",0.9166666666666666,1.0,0.3,0.25,0.3,0.3,0.5,0.32575757575757575
565,"[0.27       0.40333333 0.52       0.67666667 0.72       0.77
 0.84333333 0.88333333 0.89666667 0.93       0.94333333 0.93      ]","[0.3        0.445      0.58       0.66666667 0.77333333 0.8
 0.86666667 0.895      0.90333333 0.92166667 0.95666667 0.96      ]",1.0,1.0,0.3,0.25,0.3,0.4,0.1,0.29545454545454547
566,"[0.25666667 0.36666667 0.54       0.59666667 0.71333333 0.73333333
 0.83       0.88333333 0.90333333 0.93333333 0.95333333 0.94333333]","[0.30333333 0.40166667 0.54833333 0.665      0.75166667 0.83
 0.89333333 0.88666667 0.92166667 0.94666667 0.95166667 0.955     ]",1.0,1.0,0.3,0.25,0.3,0.4,0.2,0.1893939393939394
567,"[0.24       0.36333333 0.52       0.60666667 0.68666667 0.74333333
 0.80666667 0.85333333 0.88333333 0.91666667 0.91666667 0.93666667]","[0.30166667 0.415      0.52666667 0.62833333 0.71666667 0.80166667
 0.85333333 0.89       0.92333333 0.935      0.945      0.94333333]",0.5833333333333333,0.9166666666666666,0.3,0.25,0.3,0.4,0.3,0.4393939393939394
568,"[0.26333333 0.33666667 0.52666667 0.64       0.65333333 0.73666667
 0.81       0.86333333 0.91       0.89       0.93666667 0.94333333]","[0.31333333 0.425      0.545      0.67       0.74166667 0.81666667
 0.87166667 0.90666667 0.935      0.95666667 0.945      0.965     ]",0.49999999999999994,0.75,0.3,0.25,0.3,0.4,0.4,0.4696969696969697
569,"[0.25666667 0.39666667 0.51666667 0.58       0.68333333 0.75
 0.80333333 0.88       0.92666667 0.89666667 0.94       0.94666667]","[0.315      0.43       0.55       0.615      0.73833333 0.79
 0.86       0.89333333 0.93333333 0.94833333 0.94166667 0.95      ]",1.0,1.0,0.3,0.25,0.3,0.4,0.5,0.17424242424242425
570,"[0.26333333 0.37666667 0.52666667 0.58666667 0.71       0.73333333
 0.79333333 0.85       0.89333333 0.89       0.95       0.94666667]","[0.29333333 0.425      0.53       0.61833333 0.715      0.82166667
 0.87       0.87333333 0.91166667 0.935      0.955      0.95333333]",1.0,1.0,0.3,0.25,0.3,0.5,0.1,0.1893939393939394
571,"[0.27       0.35       0.49       0.62       0.69333333 0.76333333
 0.82333333 0.87666667 0.91       0.89333333 0.95       0.93333333]","[0.30166667 0.43666667 0.55166667 0.61666667 0.74833333 0.81166667
 0.84       0.89       0.91       0.93166667 0.95833333 0.96166667]",1.0,0.9166666666666666,0.3,0.25,0.3,0.5,0.2,0.19696969696969696
572,"[0.27       0.38666667 0.57       0.63333333 0.66666667 0.75666667
 0.82333333 0.9        0.90333333 0.93666667 0.95333333 0.94      ]","[0.32333333 0.46666667 0.55333333 0.675      0.74166667 0.81333333
 0.87666667 0.90333333 0.93666667 0.955      0.965      0.95833333]",0.5,0.7499999999999999,0.3,0.25,0.3,0.5,0.3,0.8106060606060606
573,"[0.23666667 0.41       0.52666667 0.61666667 0.67333333 0.74
 0.81333333 0.86       0.91       0.95       0.94       0.95      ]","[0.30333333 0.44666667 0.605      0.63666667 0.75833333 0.79833333
 0.87333333 0.91833333 0.94166667 0.95       0.95833333 0.96833333]",1.0,1.0,0.3,0.25,0.3,0.5,0.4,0.14393939393939395
574,"[0.27333333 0.36333333 0.53       0.61666667 0.69       0.75
 0.79666667 0.83666667 0.86333333 0.91       0.94       0.93      ]","[0.27166667 0.44       0.54       0.66       0.73833333 0.80666667
 0.855      0.87166667 0.92333333 0.95166667 0.96       0.95666667]",1.0,1.0,0.3,0.25,0.3,0.5,0.5,0.3409090909090909
575,"[0.31       0.39333333 0.46333333 0.54       0.65       0.68
 0.77       0.82333333 0.81666667 0.86666667 0.88666667 0.93      ]","[0.30666667 0.39       0.46333333 0.565      0.61666667 0.67333333
 0.755      0.76166667 0.83666667 0.89166667 0.90666667 0.93166667]",1.0,1.0,0.3,0.25,0.4,0.1,0.1,0.19696969696969696
576,"[0.26       0.35333333 0.42       0.49333333 0.60333333 0.62333333
 0.71666667 0.76       0.84       0.85666667 0.88       0.9       ]","[0.32       0.41666667 0.48333333 0.57166667 0.62333333 0.66833333
 0.745      0.80166667 0.85       0.865      0.88833333 0.9       ]",0.41666666666666663,0.9166666666666666,0.3,0.25,0.4,0.1,0.2,0.44696969696969696
577,"[0.29333333 0.38       0.49333333 0.55333333 0.55333333 0.67666667
 0.70666667 0.76       0.82666667 0.84666667 0.87333333 0.89333333]","[0.31833333 0.42833333 0.46333333 0.54833333 0.61       0.67666667
 0.74166667 0.79166667 0.80166667 0.875      0.89       0.93333333]",0.25,0.9166666666666666,0.3,0.25,0.4,0.1,0.3,0.6818181818181818
578,"[0.30666667 0.37666667 0.45333333 0.5        0.59666667 0.65
 0.7        0.76333333 0.81666667 0.84333333 0.83333333 0.91      ]","[0.32833333 0.39166667 0.48       0.56       0.62833333 0.69166667
 0.71       0.785      0.82833333 0.84       0.88166667 0.885     ]",0.6666666666666666,0.9166666666666666,0.3,0.25,0.4,0.1,0.4,0.4318181818181818
579,"[0.27666667 0.37666667 0.44       0.48333333 0.59666667 0.68333333
 0.67666667 0.73       0.80666667 0.82666667 0.83       0.87      ]","[0.31166667 0.37666667 0.465      0.54666667 0.57833333 0.67333333
 0.695      0.74166667 0.78833333 0.845      0.84666667 0.85166667]",0.8333333333333333,0.75,0.3,0.25,0.4,0.1,0.5,0.44696969696969696
580,"[0.26       0.36       0.50666667 0.55666667 0.62333333 0.71
 0.77       0.79666667 0.84666667 0.91       0.91       0.92666667]","[0.325      0.49       0.56166667 0.665      0.71833333 0.80666667
 0.82333333 0.88       0.89333333 0.9        0.92666667 0.95166667]",1.0,0.9166666666666666,0.3,0.25,0.4,0.2,0.1,0.5151515151515151
581,"[0.24666667 0.37       0.49666667 0.55333333 0.59       0.66
 0.78666667 0.78666667 0.84666667 0.86666667 0.90666667 0.9       ]","[0.355      0.41833333 0.53833333 0.62166667 0.685      0.76666667
 0.84       0.87166667 0.88666667 0.92166667 0.925      0.915     ]",1.0,0.8333333333333333,0.3,0.25,0.4,0.2,0.2,0.30303030303030304
582,"[0.27       0.38666667 0.47333333 0.55333333 0.67666667 0.70333333
 0.77666667 0.81666667 0.86333333 0.88666667 0.89       0.89      ]","[0.325      0.40166667 0.51       0.61166667 0.66833333 0.75833333
 0.8        0.825      0.89333333 0.91166667 0.90166667 0.92333333]",1.0,0.8333333333333333,0.3,0.25,0.4,0.2,0.3,0.25757575757575757
583,"[0.3        0.38333333 0.47666667 0.55       0.65       0.68666667
 0.75       0.8        0.86333333 0.87666667 0.88333333 0.90666667]","[0.335      0.42833333 0.48833333 0.59833333 0.675      0.74166667
 0.79       0.83       0.87       0.87166667 0.92       0.91833333]",0.9166666666666666,1.0,0.3,0.25,0.4,0.2,0.4,0.22727272727272727
584,"[0.31666667 0.38       0.48666667 0.53       0.62333333 0.66666667
 0.72       0.8        0.79       0.84       0.87       0.87      ]","[0.33333333 0.39666667 0.50166667 0.59333333 0.65333333 0.72833333
 0.75333333 0.81333333 0.84       0.89333333 0.89833333 0.89666667]",0.7499999999999999,1.0,0.3,0.25,0.4,0.2,0.5,0.36363636363636365
585,"[0.25666667 0.38666667 0.52333333 0.56       0.62666667 0.70333333
 0.83333333 0.83333333 0.89333333 0.89666667 0.90666667 0.94      ]","[0.29833333 0.445      0.575      0.65       0.73833333 0.795
 0.85       0.88666667 0.89833333 0.92666667 0.92833333 0.94833333]",1.0,0.8333333333333333,0.3,0.25,0.4,0.3,0.1,0.3106060606060606
586,"[0.24333333 0.38       0.52666667 0.54       0.63333333 0.71333333
 0.78666667 0.85333333 0.84666667 0.87666667 0.90666667 0.90666667]","[0.31666667 0.46833333 0.59       0.67333333 0.73666667 0.77666667
 0.85666667 0.88166667 0.91833333 0.90833333 0.92833333 0.92166667]",0.9166666666666666,1.0,0.3,0.25,0.4,0.3,0.2,0.1590909090909091
587,"[0.23666667 0.37       0.5        0.61333333 0.62       0.73
 0.77       0.81333333 0.83333333 0.85       0.87333333 0.88666667]","[0.33       0.46833333 0.54       0.615      0.68333333 0.77166667
 0.815      0.85       0.89166667 0.92833333 0.94166667 0.93      ]",0.9166666666666666,1.0,0.3,0.25,0.4,0.3,0.3,0.3106060606060606
588,"[0.26666667 0.37       0.52       0.56666667 0.65333333 0.73666667
 0.78       0.83666667 0.87333333 0.89       0.91       0.94      ]","[0.29166667 0.43       0.55166667 0.62666667 0.65666667 0.75166667
 0.81666667 0.86166667 0.89166667 0.92333333 0.92666667 0.92833333]",0.6666666666666666,0.9166666666666666,0.3,0.25,0.4,0.3,0.4,0.3787878787878788
589,"[0.27333333 0.38333333 0.46333333 0.51666667 0.64       0.66333333
 0.74333333 0.76666667 0.84       0.91666667 0.89666667 0.90333333]","[0.31333333 0.41666667 0.52       0.63833333 0.69833333 0.775
 0.79833333 0.87166667 0.88166667 0.88333333 0.9        0.92666667]",0.75,1.0,0.3,0.25,0.4,0.3,0.5,0.38636363636363635
590,"[0.27333333 0.38666667 0.52       0.57       0.66333333 0.72
 0.80666667 0.86333333 0.85       0.91       0.89333333 0.91333333]","[0.30166667 0.43666667 0.58666667 0.65166667 0.73833333 0.80166667
 0.87166667 0.87833333 0.91166667 0.90166667 0.92166667 0.94666667]",1.0,1.0,0.3,0.25,0.4,0.4,0.1,0.16666666666666666
591,"[0.26666667 0.39666667 0.49333333 0.55       0.61       0.73
 0.79666667 0.86       0.86       0.89       0.93       0.91      ]","[0.29333333 0.44333333 0.51166667 0.61       0.69166667 0.76166667
 0.825      0.88666667 0.895      0.92666667 0.93833333 0.91666667]",0.8333333333333333,1.0,0.3,0.25,0.4,0.4,0.2,0.20454545454545456
592,"[0.25666667 0.37       0.48666667 0.55333333 0.64666667 0.68666667
 0.77       0.86333333 0.87666667 0.93       0.89333333 0.91333333]","[0.315      0.43833333 0.56       0.65333333 0.725      0.77
 0.84333333 0.85333333 0.885      0.91       0.91166667 0.91166667]",1.0,0.9166666666666666,0.3,0.25,0.4,0.4,0.3,0.2727272727272727
593,"[0.26333333 0.36666667 0.48       0.64666667 0.62666667 0.74666667
 0.78       0.82666667 0.85666667 0.87333333 0.91       0.92      ]","[0.28666667 0.45333333 0.545      0.605      0.725      0.77
 0.83833333 0.87666667 0.90166667 0.91833333 0.93       0.93333333]",1.0,1.0,0.3,0.25,0.4,0.4,0.4,0.1590909090909091
594,"[0.24666667 0.35666667 0.5        0.59666667 0.65333333 0.72333333
 0.81333333 0.84333333 0.86       0.90333333 0.9        0.88666667]","[0.30833333 0.42833333 0.55       0.625      0.71166667 0.76833333
 0.82666667 0.865      0.88666667 0.91666667 0.92833333 0.91833333]",0.9166666666666666,0.9166666666666666,0.3,0.25,0.4,0.4,0.5,0.3484848484848485
595,"[0.26       0.33666667 0.49       0.55       0.67333333 0.7
 0.81       0.84333333 0.89333333 0.89666667 0.9        0.90666667]","[0.28833333 0.43       0.57       0.61       0.69166667 0.77833333
 0.83333333 0.86666667 0.895      0.90333333 0.92833333 0.92166667]",0.9166666666666666,1.0,0.3,0.25,0.4,0.5,0.1,0.29545454545454547
596,"[0.27666667 0.38       0.5        0.61333333 0.61666667 0.73
 0.79666667 0.83       0.85666667 0.87666667 0.87333333 0.91333333]","[0.34833333 0.45       0.53833333 0.61833333 0.72833333 0.78666667
 0.85       0.86666667 0.90166667 0.90833333 0.93333333 0.93166667]",1.0,1.0,0.3,0.25,0.4,0.5,0.2,0.2727272727272727
597,"[0.26333333 0.38       0.50333333 0.61       0.65333333 0.71333333
 0.79       0.85666667 0.87333333 0.89333333 0.9        0.90666667]","[0.31       0.435      0.52333333 0.66166667 0.73       0.78
 0.83166667 0.885      0.91       0.92333333 0.92333333 0.945     ]",0.9166666666666666,0.8333333333333333,0.3,0.25,0.4,0.5,0.3,0.18181818181818182
598,"[0.29666667 0.40666667 0.55666667 0.60666667 0.61333333 0.71333333
 0.77666667 0.86       0.87666667 0.86666667 0.92333333 0.9       ]","[0.31333333 0.44333333 0.515      0.61       0.715      0.79666667
 0.83833333 0.88333333 0.895      0.92166667 0.92       0.93      ]",1.0,1.0,0.3,0.25,0.4,0.5,0.4,0.25
599,"[0.29       0.42       0.55333333 0.57333333 0.63       0.67666667
 0.80333333 0.79666667 0.84333333 0.91333333 0.90666667 0.90666667]","[0.29333333 0.405      0.535      0.61166667 0.69166667 0.75666667
 0.83       0.87       0.89166667 0.90333333 0.91333333 0.93166667]",0.8333333333333333,1.0,0.3,0.25,0.4,0.5,0.5,0.21212121212121213
600,"[0.29       0.36333333 0.46666667 0.52333333 0.55666667 0.62333333
 0.68       0.77333333 0.77666667 0.84333333 0.84333333 0.86333333]","[0.31166667 0.39333333 0.48666667 0.52333333 0.585      0.685
 0.73833333 0.77333333 0.79666667 0.85666667 0.85       0.87333333]",0.7499999999999999,0.9166666666666666,0.3,0.25,0.5,0.1,0.1,0.25
601,"[0.23333333 0.33333333 0.42666667 0.47666667 0.56333333 0.62333333
 0.73333333 0.78666667 0.81333333 0.83       0.86       0.84      ]","[0.315      0.34833333 0.44833333 0.51       0.57166667 0.64666667
 0.69333333 0.75666667 0.80666667 0.83166667 0.87333333 0.89166667]",0.8333333333333333,1.0,0.3,0.25,0.5,0.1,0.2,0.3181818181818182
602,"[0.27333333 0.36       0.45666667 0.48       0.53666667 0.63666667
 0.69       0.76       0.8        0.84       0.83       0.81333333]","[0.32166667 0.41333333 0.47       0.555      0.58833333 0.64833333
 0.70666667 0.75833333 0.8        0.83666667 0.85333333 0.89333333]",0.5833333333333333,1.0,0.3,0.25,0.5,0.1,0.3,0.3181818181818182
603,"[0.25       0.35666667 0.42666667 0.5        0.57       0.61333333
 0.69666667 0.74       0.79       0.83333333 0.84666667 0.86666667]","[0.32       0.41166667 0.45833333 0.52       0.59       0.665
 0.72333333 0.75166667 0.79833333 0.825      0.87       0.87      ]",0.6666666666666666,0.6666666666666666,0.3,0.25,0.5,0.1,0.4,0.4166666666666667
604,"[0.3        0.33666667 0.43       0.47666667 0.55       0.63
 0.7        0.73333333 0.79       0.78666667 0.83       0.86666667]","[0.315      0.39       0.52833333 0.535      0.575      0.66
 0.72666667 0.74333333 0.79       0.81333333 0.81666667 0.88333333]",0.8333333333333333,0.9166666666666666,0.3,0.25,0.5,0.1,0.5,0.20454545454545456
605,"[0.29666667 0.39       0.52       0.52       0.65       0.71333333
 0.73       0.79       0.81333333 0.86       0.87333333 0.88      ]","[0.28666667 0.42666667 0.535      0.62666667 0.66333333 0.74
 0.79       0.82       0.85833333 0.85166667 0.89       0.87833333]",0.8333333333333333,0.9166666666666666,0.3,0.25,0.5,0.2,0.1,0.3484848484848485
606,"[0.24333333 0.37666667 0.50666667 0.57666667 0.61       0.65
 0.74666667 0.80666667 0.85333333 0.89666667 0.87333333 0.89333333]","[0.30666667 0.43666667 0.515      0.59833333 0.685      0.74333333
 0.80833333 0.83166667 0.85833333 0.88333333 0.89333333 0.915     ]",0.5833333333333333,0.9166666666666666,0.3,0.25,0.5,0.2,0.2,0.48484848484848486
607,"[0.29666667 0.39333333 0.49       0.52333333 0.62       0.67666667
 0.76       0.79666667 0.82       0.85666667 0.87666667 0.90333333]","[0.29666667 0.44166667 0.51333333 0.60166667 0.685      0.76166667
 0.79       0.82333333 0.86833333 0.91666667 0.9        0.90666667]",0.9166666666666666,0.8333333333333333,0.3,0.25,0.5,0.2,0.3,0.20454545454545456
608,"[0.23       0.37666667 0.45333333 0.53333333 0.61666667 0.64
 0.73       0.72       0.77666667 0.83333333 0.84666667 0.88      ]","[0.32       0.40166667 0.48833333 0.54833333 0.65       0.71
 0.75666667 0.82       0.84333333 0.86666667 0.89333333 0.91833333]",0.9166666666666666,0.9166666666666666,0.3,0.25,0.5,0.2,0.4,0.20454545454545456
609,"[0.26666667 0.35       0.46       0.54666667 0.62666667 0.69
 0.72333333 0.78333333 0.78       0.81666667 0.85333333 0.89666667]","[0.27       0.38833333 0.49666667 0.565      0.60833333 0.66833333
 0.72166667 0.76333333 0.83333333 0.83333333 0.88166667 0.89166667]",0.8333333333333333,1.0,0.3,0.25,0.5,0.2,0.5,0.36363636363636365
610,"[0.26333333 0.37       0.50333333 0.60333333 0.67333333 0.71666667
 0.81666667 0.84666667 0.85666667 0.82666667 0.85       0.88333333]","[0.325      0.465      0.57333333 0.66833333 0.69833333 0.79333333
 0.84       0.85333333 0.87833333 0.895      0.89333333 0.905     ]",0.9166666666666666,0.9166666666666666,0.3,0.25,0.5,0.3,0.1,0.1590909090909091
611,"[0.28       0.37333333 0.49666667 0.62       0.65666667 0.65333333
 0.76       0.79666667 0.86       0.86333333 0.86666667 0.88666667]","[0.315      0.42       0.53       0.63       0.72       0.76333333
 0.805      0.86333333 0.88666667 0.90333333 0.89333333 0.89833333]",0.9166666666666666,1.0,0.3,0.25,0.5,0.3,0.2,0.2727272727272727
612,"[0.23333333 0.35666667 0.47333333 0.53333333 0.59       0.64333333
 0.73666667 0.78666667 0.83333333 0.85333333 0.86666667 0.84333333]","[0.29333333 0.39833333 0.505      0.59666667 0.67333333 0.74333333
 0.78666667 0.87333333 0.86166667 0.89333333 0.89       0.91333333]",0.9166666666666666,0.6666666666666666,0.3,0.25,0.5,0.3,0.3,0.2727272727272727
613,"[0.26666667 0.35333333 0.45       0.53666667 0.67666667 0.70666667
 0.78333333 0.78333333 0.82       0.83       0.82       0.88      ]","[0.31666667 0.45       0.53666667 0.60833333 0.69       0.775
 0.82       0.81166667 0.87666667 0.88333333 0.89333333 0.88833333]",0.8333333333333333,0.75,0.3,0.25,0.5,0.3,0.4,0.3712121212121212
614,"[0.26       0.31       0.46666667 0.53666667 0.58333333 0.58
 0.69333333 0.77666667 0.78       0.81       0.83333333 0.85666667]","[0.32833333 0.43166667 0.51833333 0.57166667 0.68166667 0.73333333
 0.79833333 0.825      0.81666667 0.875      0.9        0.895     ]",0.9166666666666666,0.9166666666666666,0.3,0.25,0.5,0.3,0.5,0.25
615,"[0.29333333 0.38333333 0.51333333 0.59333333 0.65333333 0.75333333
 0.77666667 0.82666667 0.82666667 0.84       0.87333333 0.89333333]","[0.325      0.44       0.515      0.65666667 0.72       0.81
 0.83166667 0.865      0.89666667 0.91166667 0.91666667 0.90666667]",0.8333333333333333,0.9166666666666666,0.3,0.25,0.5,0.4,0.1,0.24242424242424243
616,"[0.26333333 0.33       0.50666667 0.53333333 0.58666667 0.66333333
 0.72333333 0.82333333 0.82666667 0.85333333 0.88333333 0.89333333]","[0.29666667 0.44333333 0.54333333 0.58666667 0.705      0.78
 0.83833333 0.86       0.85666667 0.88666667 0.89       0.92      ]",1.0,1.0,0.3,0.25,0.5,0.4,0.2,0.25757575757575757
617,"[0.31       0.42       0.55       0.63333333 0.7        0.70333333
 0.77333333 0.81       0.83333333 0.89666667 0.88666667 0.88666667]","[0.305      0.46333333 0.585      0.68666667 0.69333333 0.77
 0.83333333 0.82333333 0.88333333 0.88666667 0.90833333 0.91      ]",0.8333333333333333,0.7499999999999999,0.3,0.25,0.5,0.4,0.3,0.20454545454545456
618,"[0.26       0.36333333 0.43666667 0.59       0.61333333 0.67
 0.73666667 0.77333333 0.84       0.87333333 0.85666667 0.87666667]","[0.29166667 0.45       0.555      0.65833333 0.72666667 0.78
 0.84       0.86666667 0.87166667 0.89333333 0.9        0.89833333]",0.6666666666666666,0.9166666666666666,0.3,0.25,0.5,0.4,0.4,0.3939393939393939
619,"[0.26666667 0.37666667 0.48       0.55       0.64666667 0.71666667
 0.74       0.8        0.79333333 0.83333333 0.87666667 0.84      ]","[0.335      0.43666667 0.55333333 0.655      0.70833333 0.76166667
 0.81333333 0.83833333 0.875      0.91833333 0.89333333 0.89833333]",0.75,0.6666666666666666,0.3,0.25,0.5,0.4,0.5,0.2727272727272727
620,"[0.29       0.41666667 0.50666667 0.56       0.68       0.70666667
 0.78333333 0.82333333 0.81       0.89666667 0.87333333 0.86333333]","[0.325      0.5        0.59333333 0.625      0.73833333 0.78833333
 0.85333333 0.86333333 0.88       0.90333333 0.90666667 0.92166667]",0.9166666666666666,1.0,0.3,0.25,0.5,0.5,0.1,0.16666666666666666
621,"[0.30333333 0.37666667 0.48333333 0.56333333 0.64       0.74
 0.75       0.81666667 0.84666667 0.89       0.88666667 0.93333333]","[0.325      0.465      0.58       0.645      0.73833333 0.79833333
 0.84       0.87166667 0.865      0.9        0.905      0.915     ]",0.9166666666666666,0.7499999999999999,0.3,0.25,0.5,0.5,0.2,0.18181818181818182
622,"[0.26333333 0.33666667 0.49333333 0.52       0.61333333 0.73
 0.74333333 0.79       0.84666667 0.84       0.87       0.89      ]","[0.3        0.42666667 0.52       0.64333333 0.7        0.8
 0.82833333 0.86833333 0.845      0.88       0.90166667 0.89      ]",1.0,0.75,0.3,0.25,0.5,0.5,0.3,0.22727272727272727
623,"[0.29       0.4        0.54333333 0.59666667 0.66333333 0.73333333
 0.78666667 0.83333333 0.86       0.87       0.89333333 0.88666667]","[0.32666667 0.46833333 0.58833333 0.66166667 0.70833333 0.77166667
 0.86166667 0.87166667 0.865      0.895      0.91166667 0.90833333]",0.7499999999999999,0.8333333333333333,0.3,0.25,0.5,0.5,0.4,0.21212121212121213
624,"[0.27333333 0.35       0.45666667 0.58666667 0.58666667 0.65
 0.76666667 0.81       0.81       0.85       0.86333333 0.88666667]","[0.285      0.43833333 0.52166667 0.60833333 0.68833333 0.76166667
 0.80666667 0.835      0.87333333 0.90166667 0.90666667 0.89833333]",0.8333333333333333,1.0,0.3,0.25,0.5,0.5,0.5,0.4090909090909091
625,"[0.24       0.36333333 0.43333333 0.47       0.6        0.66333333
 0.71666667 0.77       0.78666667 0.89666667 0.87333333 0.91      ]","[0.32       0.36333333 0.47833333 0.49666667 0.55166667 0.58666667
 0.68166667 0.70166667 0.77333333 0.84666667 0.85166667 0.88833333]",0.3333333333333333,0.6666666666666666,0.4,0.05,0.1,0.1,0.1,0.5681818181818182
626,"[0.24       0.35333333 0.47       0.51666667 0.62       0.66
 0.77333333 0.80666667 0.84333333 0.87333333 0.88666667 0.93666667]","[0.365      0.41166667 0.51666667 0.54666667 0.63       0.66166667
 0.73666667 0.79666667 0.83833333 0.87333333 0.89166667 0.925     ]",1.0,1.0,0.4,0.05,0.1,0.1,0.2,0.3333333333333333
627,"[0.29666667 0.36333333 0.41666667 0.47666667 0.55666667 0.61666667
 0.68666667 0.73666667 0.80333333 0.84666667 0.89333333 0.9       ]","[0.33333333 0.39166667 0.43333333 0.52       0.565      0.62833333
 0.63333333 0.71666667 0.78       0.80666667 0.865      0.88333333]",0.9166666666666666,1.0,0.4,0.05,0.1,0.1,0.3,0.17424242424242425
628,"[0.27666667 0.36       0.44       0.49       0.56666667 0.6
 0.69333333 0.78       0.80666667 0.79666667 0.83333333 0.89333333]","[0.31666667 0.39333333 0.5        0.54833333 0.55833333 0.60333333
 0.69       0.74       0.80333333 0.815      0.865      0.875     ]",0.8333333333333333,0.9166666666666666,0.4,0.05,0.1,0.1,0.4,0.2803030303030303
629,"[0.27       0.36       0.43       0.47       0.57       0.64
 0.66666667 0.7        0.74       0.77666667 0.83333333 0.87      ]","[0.325      0.40833333 0.49833333 0.51166667 0.58833333 0.64333333
 0.65166667 0.70666667 0.785      0.84166667 0.86666667 0.86333333]",0.25,0.6666666666666666,0.4,0.05,0.1,0.1,0.5,0.553030303030303
630,"[0.31666667 0.4        0.45       0.60333333 0.72       0.72333333
 0.77666667 0.84333333 0.87666667 0.90666667 0.93666667 0.95666667]","[0.32166667 0.43833333 0.55166667 0.64166667 0.68833333 0.755
 0.82333333 0.87833333 0.9        0.93666667 0.95166667 0.96333333]",1.0,1.0,0.4,0.05,0.1,0.2,0.1,0.18181818181818182
631,"[0.25666667 0.35333333 0.48333333 0.60666667 0.65666667 0.68333333
 0.78       0.84333333 0.86       0.87666667 0.91666667 0.93666667]","[0.32       0.43666667 0.56333333 0.56666667 0.62833333 0.68833333
 0.795      0.83666667 0.90166667 0.92666667 0.94833333 0.95666667]",1.0,1.0,0.4,0.05,0.1,0.2,0.2,0.12878787878787878
632,"[0.3        0.38       0.48333333 0.57       0.74       0.71666667
 0.78666667 0.87333333 0.87       0.89333333 0.94       0.94      ]","[0.34333333 0.45666667 0.56333333 0.615      0.665      0.72833333
 0.84       0.89166667 0.90333333 0.94       0.96166667 0.965     ]",1.0,1.0,0.4,0.05,0.1,0.2,0.3,0.22727272727272727
633,"[0.30666667 0.45333333 0.46333333 0.59666667 0.64       0.68333333
 0.79666667 0.76666667 0.84       0.85666667 0.86666667 0.92333333]","[0.31       0.44666667 0.51666667 0.62666667 0.645      0.73666667
 0.79       0.84666667 0.88833333 0.92       0.94       0.95833333]",1.0,1.0,0.4,0.05,0.1,0.2,0.4,0.10606060606060606
634,"[0.26333333 0.32       0.44333333 0.52666667 0.56333333 0.70666667
 0.76666667 0.77666667 0.80666667 0.82666667 0.88       0.94333333]","[0.32       0.43       0.49666667 0.54333333 0.63       0.685
 0.72       0.79166667 0.85166667 0.87333333 0.915      0.92      ]",0.9166666666666666,0.9166666666666666,0.4,0.05,0.1,0.2,0.5,0.17424242424242425
635,"[0.22666667 0.35333333 0.47333333 0.54333333 0.69666667 0.76333333
 0.79666667 0.83       0.88666667 0.90666667 0.92333333 0.93666667]","[0.33       0.45833333 0.55166667 0.64       0.70666667 0.78666667
 0.88666667 0.91666667 0.93333333 0.96666667 0.97166667 0.98833333]",1.0,1.0,0.4,0.05,0.1,0.3,0.1,0.13636363636363635
636,"[0.26666667 0.38666667 0.51666667 0.61       0.68333333 0.75
 0.79       0.88666667 0.86333333 0.89666667 0.92666667 0.93      ]","[0.315      0.46833333 0.58833333 0.66       0.71       0.76166667
 0.87166667 0.90333333 0.935      0.95833333 0.96833333 0.97666667]",1.0,1.0,0.4,0.05,0.1,0.3,0.2,0.20454545454545456
637,"[0.28333333 0.40333333 0.48       0.56333333 0.69333333 0.72
 0.82       0.87333333 0.87       0.88       0.90666667 0.95666667]","[0.33       0.43833333 0.56833333 0.63333333 0.73333333 0.78
 0.87       0.91166667 0.95333333 0.97333333 0.99       0.99      ]",1.0,1.0,0.4,0.05,0.1,0.3,0.3,0.12878787878787878
638,"[0.25333333 0.42       0.45       0.54666667 0.65666667 0.76
 0.82666667 0.81333333 0.89333333 0.9        0.91       0.93      ]","[0.315      0.44333333 0.56666667 0.635      0.68166667 0.76166667
 0.835      0.87666667 0.91833333 0.945      0.94666667 0.97      ]",1.0,1.0,0.4,0.05,0.1,0.3,0.4,0.16666666666666666
639,"[0.28       0.35333333 0.45666667 0.48666667 0.65333333 0.65
 0.77333333 0.79       0.85666667 0.87666667 0.87666667 0.94666667]","[0.345      0.44833333 0.535      0.59166667 0.65666667 0.75666667
 0.815      0.84166667 0.89833333 0.93666667 0.94333333 0.955     ]",0.41666666666666663,0.7499999999999999,0.4,0.05,0.1,0.3,0.5,0.5984848484848485
