,set3_learn,set6_learn,set3_test,set6_test,bll,alpha,egs,imag,ans,strtg
17,"[0.28       0.35333333 0.48666667 0.54666667 0.61333333 0.69333333
 0.8        0.82666667 0.85666667 0.88333333 0.91333333 0.92666667]","[0.31333333 0.43166667 0.58333333 0.66833333 0.71333333 0.79666667
 0.86333333 0.89833333 0.92666667 0.955      0.965      0.97833333]",1.0,0.7499999999999999,0.3,0.05,0.1,0.4,0.3,0.19696969696969696
18,"[0.27       0.33333333 0.49333333 0.56       0.65666667 0.75
 0.8        0.87333333 0.86       0.90666667 0.92666667 0.95333333]","[0.31166667 0.465      0.57333333 0.66666667 0.71833333 0.8
 0.91       0.94       0.93333333 0.97       0.98       0.99      ]",1.0,1.0,0.3,0.05,0.1,0.4,0.4,0.09090909090909091
19,"[0.26666667 0.37666667 0.46666667 0.57333333 0.64666667 0.71333333
 0.77333333 0.85       0.91333333 0.91666667 0.94       0.96333333]","[0.34833333 0.475      0.56666667 0.65166667 0.74166667 0.79833333
 0.87666667 0.91833333 0.94833333 0.97       0.96666667 0.98      ]",1.0,0.9166666666666666,0.3,0.05,0.1,0.4,0.5,0.19696969696969696
20,"[0.27666667 0.38666667 0.46666667 0.58333333 0.64333333 0.71333333
 0.78       0.80666667 0.84       0.91       0.94       0.94333333]","[0.32       0.46333333 0.56166667 0.66166667 0.745      0.85
 0.88       0.93833333 0.93       0.97333333 0.97833333 0.98166667]",1.0,1.0,0.3,0.05,0.1,0.5,0.1,0.12878787878787878
21,"[0.28333333 0.38666667 0.49333333 0.59333333 0.61       0.72666667
 0.78333333 0.82666667 0.84333333 0.89666667 0.93666667 0.95666667]","[0.31333333 0.44833333 0.53333333 0.64333333 0.74166667 0.81
 0.86333333 0.905      0.94       0.95833333 0.98666667 0.98666667]",1.0,1.0,0.3,0.05,0.1,0.5,0.2,0.14393939393939395
22,"[0.23333333 0.37       0.46666667 0.53333333 0.61666667 0.68
 0.76       0.79       0.9        0.92333333 0.93       0.95      ]","[0.28333333 0.43833333 0.57       0.61166667 0.73333333 0.81
 0.86333333 0.89833333 0.95333333 0.96       0.97666667 0.98833333]",1.0,1.0,0.3,0.05,0.1,0.5,0.3,0.18181818181818182
23,"[0.26333333 0.34       0.45666667 0.54666667 0.62666667 0.69333333
 0.75666667 0.81       0.87333333 0.87666667 0.91666667 0.94333333]","[0.34333333 0.525      0.57666667 0.66833333 0.75333333 0.82
 0.885      0.92833333 0.93666667 0.97833333 0.98666667 0.99166667]",1.0,1.0,0.3,0.05,0.1,0.5,0.4,0.15151515151515152
24,"[0.25       0.40333333 0.48333333 0.58       0.62       0.68666667
 0.76       0.83666667 0.90333333 0.89666667 0.95333333 0.95      ]","[0.32666667 0.46       0.55833333 0.64666667 0.72666667 0.775
 0.86666667 0.89833333 0.94333333 0.96666667 0.975      0.98333333]",1.0,1.0,0.3,0.05,0.1,0.5,0.5,0.14393939393939395
25,"[0.28666667 0.38666667 0.42333333 0.47333333 0.51       0.60333333
 0.62       0.72       0.73       0.72333333 0.78666667 0.81      ]","[0.32666667 0.425      0.46833333 0.58       0.60666667 0.65333333
 0.73833333 0.76166667 0.77333333 0.85166667 0.88333333 0.90833333]",1.0,1.0,0.3,0.05,0.2,0.1,0.1,0.1893939393939394
26,"[0.29333333 0.36333333 0.44333333 0.50666667 0.50333333 0.63
 0.64333333 0.68333333 0.77       0.77666667 0.81333333 0.83      ]","[0.31333333 0.42       0.47333333 0.53833333 0.56333333 0.66333333
 0.72       0.75333333 0.78333333 0.81666667 0.88666667 0.895     ]",0.8333333333333333,1.0,0.3,0.05,0.2,0.1,0.2,0.30303030303030304
