subject,acc,RT,Code,seq,actionseq,timeseq,trial
15006,1,0.477858902770095,3,1,3,374,78
15006,1,1.21678530715872,2,6,2,375,78
15006,1,0.597474134177901,2,5,2,376,78
15006,1,0.659546632232377,2,6,2,377,78
15006,0,0.510879389505135,2,3,1,378,78
15006,1,0.608634809817886,1,4,1,379,78
15006,1,0.526049274136312,1,4,1,380,78
15006,1,0.686876608087914,2,5,2,381,78
15006,1,0.760928943345789,1,3,1,382,78
15006,1,0.640391273132991,3,2,3,383,78
15006,1,0.460615776013583,3,2,3,384,78
15006,1,0.912149891810259,3,1,3,385,78
15006,1,0.577501217194367,1,4,1,386,78
15006,1,0.656360433669761,3,1,3,387,78
15006,1,0.827821152051911,2,6,2,388,78
15006,1,0.912427329079947,1,4,1,389,78
15006,1,0.609970678226091,2,5,2,390,78
15006,1,0.801943472091807,1,1,1,391,78
15006,1,0.679266487946734,1,2,1,392,78
15006,1,0.722198060073424,2,3,2,393,78
15006,1,0.634917580289766,2,4,2,394,78
15006,1,0.423145708773518,3,5,3,395,78
15006,1,0.268016262620222,3,6,3,396,78
15006,1,0.710770852223504,3,5,3,397,78
15006,1,0.719786761386786,1,1,1,398,78
15006,1,0.808007961983094,2,4,2,399,78
15006,0,1.00471322608064,2,2,1,400,78
15006,1,0.521924920671154,3,5,3,401,78
15006,1,0.394708870473551,3,6,3,402,78
15006,0,0.960935871262336,1,3,2,403,78
15006,1,0.52827005519066,2,3,2,404,78
15006,1,1.16915237624198,3,6,3,405,78
15006,1,0.887743110419251,1,2,1,406,78
15006,1,0.745959839929128,1,1,1,407,78
15006,1,0.722045710106613,2,4,2,408,78
15006,1,0.874724727706052,1,1,1,409,78
15006,0,1.14960507687647,2,2,1,410,78
15006,1,1.44471942272503,2,3,2,411,78
15006,1,1.02469287853455,2,4,2,412,78
15006,1,0.669355081830872,3,5,3,413,78
15006,1,0.536414522706764,3,6,3,414,78
15006,1,1.1922479859204,1,1,1,415,78
15006,1,0.798240245931083,2,3,2,416,78
15006,1,0.787785832537338,3,5,3,417,78
15006,1,1.28991071332712,1,2,1,418,78
15006,1,0.603679427498719,2,4,2,419,78
15006,1,0.585290308430558,2,4,2,420,78
15006,0,0.59939470567042,3,2,1,421,78
15006,1,1.1570086425636,3,6,3,422,78
15006,0,0.748137962975306,2,2,1,423,78
15006,1,0.707669328141492,1,1,1,424,78
15006,1,0.717201302701142,2,3,2,425,78
15006,1,0.549900860263733,3,6,3,426,78
15006,1,0.725430123973638,3,5,3,427,78
15006,1,0.830060856591444,2,3,2,428,78
15006,1,0.706969159888104,3,5,3,429,78
15006,1,0.700341456307797,1,1,1,430,78
15006,1,0.901750965887913,2,4,2,431,78
15006,1,0.791102250223048,3,6,3,432,78
15006,1,0.477311405207729,3,6,3,433,78
15006,1,0.80024901998695,1,2,1,434,78
15006,1,0.517617105768295,2,3,2,435,78
15006,1,0.614503650314873,2,4,2,436,78
15006,1,0.563429855857976,1,1,1,437,78
15006,1,1.04278659910779,3,5,3,438,78
15006,1,0.654689716087887,1,2,1,439,78
15006,1,0.746216429281048,2,4,2,440,78
15006,1,0.753990445897216,3,5,3,441,78
15006,1,0.617810125142569,1,1,1,442,78
15006,1,0.694591929903254,3,6,3,443,78
15006,1,0.656827105587581,1,1,1,444,78
15006,1,0.764294113003416,2,3,2,445,78
15006,1,0.57965239835903,2,3,2,446,78
15006,1,0.690523063851288,1,2,1,447,78
15006,1,0.844653735839529,3,5,3,448,78
15006,1,1.12073620624142,2,4,2,449,78
15006,1,0.617368470702786,3,6,3,450,78
15006,1,1.27027296618326,1,2,1,451,78
15006,1,0.552791018853895,1,1,1,452,78
15006,1,0.632305179693503,3,6,3,453,78
15006,1,0.628332213935209,3,5,3,454,78
15006,1,0.577226345805684,3,6,3,455,78
15006,1,0.480065571406158,2,3,2,456,78
15006,1,0.338878550479421,2,4,2,457,78
15006,1,0.4750620785926,2,4,2,458,78
15006,1,0.542039603285957,3,5,3,459,78
15006,1,0.638230149139417,2,3,2,460,78
15006,1,0.698394263687078,1,2,1,461,78
15006,1,0.531867438228801,1,2,1,462,78
15006,1,0.675918317341711,1,1,1,463,78
15006,1,0.702816260862164,2,4,2,464,78
15006,1,0.920148424105719,1,1,1,465,78
15006,1,0.584847050253302,3,6,3,466,78
15006,1,0.759042369958479,2,4,2,467,78
15006,1,0.51047846864094,3,5,3,468,78
15006,0,1.0608726219798,2,1,1,469,39
15006,0,0.656267099286197,2,2,3,470,39
15006,0,0.955127649998758,2,3,3,471,39
15006,1,0.986538359138649,1,1,1,472,39
15006,-1,-1,-1,3,3,473,39
15006,1,0.641645353694912,3,2,3,474,39
15006,1,0.573656546126585,3,2,3,475,39
15006,0,0.940521620534128,1,3,3,476,39
15006,1,0.572686638304731,1,1,1,477,39
15006,0,0.795426101947669,3,1,1,478,39
15006,1,0.497617888409877,3,2,3,479,39
15006,1,0.434942405321635,3,3,3,480,39
15006,1,0.391300401359331,3,3,3,481,39
15006,1,0.461504216742469,3,2,3,482,39
15006,1,0.592961689282674,1,1,1,483,39
15006,1,0.607088217366254,3,2,3,484,39
15006,1,0.84459600324044,3,3,3,485,39
15006,1,0.448753969918471,1,1,1,486,39
15006,1,0.644265772716608,1,1,1,487,39
15006,1,0.448341823241208,3,2,3,488,39
15006,1,0.835889925714582,3,3,3,489,39
15006,1,0.520055346336449,3,2,3,490,39
15006,1,0.408946052717511,3,3,3,491,39
15006,1,0.734558932483196,1,1,1,492,39
15006,1,0.598578109958908,1,1,1,493,39
15006,1,0.51605030693463,3,3,3,494,39
15006,1,0.388853180222213,3,2,3,495,39
15006,1,0.55509166335105,1,1,1,496,39
15006,1,0.602559735591058,3,2,3,497,39
15006,1,0.472051643766463,3,3,3,498,39
15006,1,0.378926378733013,3,3,3,499,39
15006,1,0.401769889343996,3,2,3,500,39
15006,1,0.647325280267978,1,1,1,501,39
15006,1,0.563537623384036,1,1,1,502,39
15006,1,0.515134603570914,3,3,3,503,39
15006,1,1.15569843305275,1,1,1,504,39
15006,1,0.459189780551242,3,2,3,505,39
15006,1,0.718775799265131,3,2,3,506,39
15006,1,0.823390495032072,3,3,3,507,39
15006,0,0.424122672819067,1,1,2,508,39
15006,0,0.733039602666395,1,2,2,509,39
15006,1,0.53311253816355,1,3,1,510,39
15006,1,0.94879374129232,2,1,2,511,39
15006,1,0.788003292051144,1,3,1,512,39
15006,1,0.506045245681889,2,2,2,513,39
15006,0,1.0834941828216,1,2,2,514,39
15006,1,0.901661480340408,1,3,1,515,39
15006,1,0.454978507419582,2,1,2,516,39
15006,1,0.650537137786159,2,1,2,517,39
15006,1,0.72597281052731,2,2,2,518,39
15006,1,0.606776461267145,1,3,1,519,39
15006,1,0.396308384515578,1,3,1,520,39
15006,1,0.562512869568309,2,2,2,521,39
15006,1,0.801999921735842,2,1,2,522,39
15006,1,0.823421927227173,2,2,2,523,39
15006,1,0.668098435387947,1,3,1,524,39
15006,1,0.758997787546832,2,1,2,525,39
15006,1,0.478250522341114,2,1,2,526,39
15006,1,0.465188840171322,2,2,2,527,39
15006,1,0.596035309252329,1,3,1,528,39
15006,1,0.418195778969675,2,2,2,529,39
15006,1,0.567014409403782,1,3,1,530,39
15006,1,0.517858299805084,2,1,2,531,39
15006,1,0.534844195732148,2,1,2,532,39
15006,1,0.630980537069263,1,3,1,533,39
15006,1,0.435166600276716,2,2,2,534,39
15006,0,0.583303344465094,1,1,2,535,39
15006,1,0.501378526445478,2,2,2,536,39
15006,1,0.662996155646397,1,3,1,537,39
15006,1,0.546322079957463,1,3,1,538,39
15006,1,0.43448535547941,2,2,2,539,39
15006,1,0.550819129508454,2,1,2,540,39
15006,1,0.598363537108526,2,1,2,541,39
15006,1,0.979845546011347,1,3,1,542,39
15006,1,0.386410128616262,2,1,2,543,39
15006,1,0.520815813099034,2,2,2,544,39
15006,1,0.441629765904509,2,2,2,545,39
15006,1,0.6537842763355,1,3,1,546,39
15006,0,0.530366390390554,1,1,2,547,78
15006,0,0.707350195094477,1,2,2,548,78
15006,0,0.492751029407373,1,3,3,549,78
15006,0,0.463025791716063,1,4,3,550,78
15006,1,0.706564710882958,1,5,1,551,78
15006,1,0.347988756257109,1,6,1,552,78
15006,1,1.10770627702004,1,5,1,553,78
15006,1,0.812862312217476,2,1,2,554,78
15006,0,0.801766746153589,2,4,3,555,78
15006,1,1.38235601648921,2,2,2,556,78
15006,1,0.899726155010285,1,5,1,557,78
15006,1,0.86907142229029,1,6,1,558,78
15006,1,0.791805625834968,3,3,3,559,78
15006,1,0.605721878935583,3,3,3,560,78
15006,1,0.923385299101938,1,6,1,561,78
15006,1,0.79599765475723,2,2,2,562,78
15006,1,0.834199643199099,2,1,2,563,78
15006,-1,-1,-1,4,3,564,78
15006,1,0.991378276259638,2,1,2,565,78
15006,1,0.861308952211402,2,2,2,566,78
15006,1,0.656809465086553,3,3,3,567,78
15006,1,0.76430116922711,3,4,3,568,78
15006,1,1.28310917044291,1,5,1,569,78
15006,1,0.421128595538903,1,6,1,570,78
15006,1,0.58582433508127,2,1,2,571,78
15006,1,0.536086409032578,3,3,3,572,78
15006,1,1.22418213740457,1,5,1,573,78
15006,1,1.03681319844327,2,2,2,574,78
15006,1,0.600898640142987,3,4,3,575,78
15006,1,0.726383674220415,3,4,3,576,78
15006,1,0.767252267774893,2,2,2,577,78
15006,1,0.581930912041571,1,6,1,578,78
15006,1,0.67609408107819,2,2,2,579,78
15006,1,0.782877277786611,2,1,2,580,78
15006,1,0.836972412129398,3,3,3,581,78
15006,1,1.40100781893125,1,6,1,582,78
15006,1,0.774331889377208,1,5,1,583,78
15006,1,1.06903344707098,3,3,3,584,78
15006,0,1.44770868893829,2,5,1,585,78
15006,1,0.946833398455055,2,1,2,586,78
15006,1,0.723005675099557,3,4,3,587,78
15006,1,0.811748393607559,1,6,1,588,78
15006,1,0.737097563629504,1,6,1,589,78
15006,1,0.633264823962236,2,2,2,590,78
15006,1,1.06137649936136,3,3,3,591,78
15006,1,0.624747018911876,3,4,3,592,78
15006,1,0.605561831296654,2,1,2,593,78
15006,0,0.986986107600387,3,5,1,594,78
15006,1,0.889012586354511,2,2,2,595,78
15006,0,0.715147304756101,1,4,3,596,78
15006,1,0.995868269586936,1,5,1,597,78
15006,1,0.641980202839477,2,1,2,598,78
15006,1,0.622099337284453,1,6,1,599,78
15006,1,0.602973806700902,2,1,2,600,78
15006,1,0.632348479150096,3,3,3,601,78
15006,1,0.484551074419869,3,3,3,602,78
15006,1,0.662589782237774,2,2,2,603,78
15006,1,0.786346045410028,1,5,1,604,78
15006,1,0.680261733970838,3,4,3,605,78
15006,1,0.707140112557681,1,6,1,606,78
15006,1,0.636483737704111,2,2,2,607,78
15006,1,0.776951346168062,2,1,2,608,78
15006,1,0.671453341463348,1,6,1,609,78
15006,1,1.09812041869736,1,5,1,610,78
15006,1,0.691549421375385,1,6,1,611,78
15006,1,0.653700243303319,3,3,3,612,78
15006,1,0.425084882968804,3,4,3,613,78
15006,1,0.669869543547975,3,4,3,614,78
15006,1,0.616914628219092,1,5,1,615,78
15006,1,0.949660692625912,3,3,3,616,78
15006,1,0.789036064292304,2,2,2,617,78
15006,1,0.539014093810692,2,2,2,618,78
15006,1,0.683317713468568,2,1,2,619,78
15006,1,0.773314512509387,3,4,3,620,78
