0,"[0.33333333330000003, 0.33333333330000003, 0.39, 0.45, 0.45333333330000003, 0.53, 0.5933333333, 0.5700000000000001, 0.6666666667000001, 0.7133333333, 0.75, 0.7666666667]"
1,"[0.3233333333, 0.3633333333, 0.48666666670000003, 0.4333333333, 0.53, 0.5166666667, 0.5566666667, 0.62, 0.66, 0.74, 0.7066666667, 0.8033333333]"
10,"[0.30666666670000003, 0.41000000000000003, 0.45333333330000003, 0.4133333333, 0.5266666667000001, 0.49, 0.52, 0.5933333333, 0.6666666667000001, 0.71, 0.7666666667, 0.7533333333000001]"
100,"[0.34, 0.37, 0.40333333330000004, 0.39333333330000003, 0.46333333330000004, 0.47000000000000003, 0.4666666667, 0.47000000000000003, 0.5366666667000001, 0.5, 0.5666666667, 0.5333333333]"
1000,"[0.2966666667, 0.43666666670000004, 0.5666666667, 0.7366666667, 0.8133333333, 0.92, 0.9433333333, 0.9766666667, 0.9866666667, 0.99, 1.0, 0.99]"
1001,"[0.35000000000000003, 0.4566666667, 0.5966666667, 0.6933333333, 0.87, 0.9566666667, 0.9733333333, 0.99, 0.9866666667, 0.9966666667, 0.99, 1.0]"
1002,"[0.3133333333, 0.43, 0.5933333333, 0.7000000000000001, 0.8933333333000001, 0.8966666667000001, 0.9533333333, 0.98, 0.9766666667, 0.9966666667, 1.0, 1.0]"
1003,"[0.3433333333, 0.3733333333, 0.5666666667, 0.7333333333000001, 0.84, 0.9233333333, 0.9500000000000001, 0.9766666667, 0.99, 0.99, 0.99, 1.0]"
1004,"[0.2833333333, 0.4466666667, 0.6066666667, 0.7233333333, 0.8466666667, 0.9166666667000001, 0.9533333333, 0.97, 0.9833333333000001, 0.98, 0.9933333333000001, 0.9933333333000001]"
1005,"[0.3733333333, 0.4333333333, 0.5466666667, 0.72, 0.8266666667, 0.91, 0.9333333333, 0.9866666667, 0.99, 0.99, 0.9933333333000001, 0.9966666667]"
1006,"[0.35000000000000003, 0.44, 0.5633333333, 0.7133333333, 0.7966666667000001, 0.9233333333, 0.9466666667, 0.9833333333000001, 0.9966666667, 0.9933333333000001, 0.9933333333000001, 1.0]"
1007,"[0.3533333333, 0.46333333330000004, 0.6133333333000001, 0.6933333333, 0.8433333333, 0.89, 0.9633333333, 0.9766666667, 0.9866666667, 0.9966666667, 0.9966666667, 0.9933333333000001]"
1008,"[0.3533333333, 0.4166666667, 0.5466666667, 0.73, 0.8433333333, 0.9066666667000001, 0.92, 0.9766666667, 0.9833333333000001, 1.0, 0.9966666667, 0.9966666667]"
1009,"[0.33333333330000003, 0.4133333333, 0.61, 0.7000000000000001, 0.86, 0.9400000000000001, 0.9566666667, 0.9833333333000001, 0.9866666667, 0.9866666667, 0.98, 0.9933333333000001]"
101,"[0.31, 0.3466666667, 0.38, 0.3733333333, 0.3866666667, 0.44, 0.45333333330000003, 0.4733333333, 0.49666666670000004, 0.4766666667, 0.52, 0.6000000000000001]"
1010,"[0.3566666667, 0.4333333333, 0.5833333333, 0.6933333333, 0.8466666667, 0.9400000000000001, 0.9466666667, 0.9566666667, 0.9733333333, 0.9833333333000001, 0.9966666667, 1.0]"
1011,"[0.3233333333, 0.4166666667, 0.5766666667, 0.7166666667, 0.8300000000000001, 0.93, 0.9633333333, 0.99, 0.9933333333000001, 0.9933333333000001, 1.0, 0.9933333333000001]"
1012,"[0.3033333333, 0.46, 0.6333333333, 0.7466666667, 0.89, 0.92, 0.9566666667, 0.9833333333000001, 0.9866666667, 1.0, 1.0, 0.9933333333000001]"
1013,"[0.3233333333, 0.4, 0.58, 0.7233333333, 0.8333333333, 0.9133333333, 0.9633333333, 0.9633333333, 0.9866666667, 0.99, 0.9866666667, 0.9966666667]"
1014,"[0.3366666667, 0.4733333333, 0.56, 0.72, 0.8566666667, 0.9166666667000001, 0.9533333333, 0.9833333333000001, 0.9866666667, 0.9933333333000001, 0.9966666667, 0.99]"
1015,"[0.2866666667, 0.45333333330000003, 0.58, 0.7033333333, 0.8333333333, 0.92, 0.9766666667, 0.9833333333000001, 0.99, 0.99, 0.99, 1.0]"
1016,"[0.3433333333, 0.4233333333, 0.5966666667, 0.74, 0.84, 0.9333333333, 0.96, 0.99, 0.99, 0.9933333333000001, 1.0, 0.9966666667]"
1017,"[0.3366666667, 0.4166666667, 0.59, 0.74, 0.8633333333000001, 0.92, 0.93, 0.9633333333, 0.99, 0.9866666667, 0.9833333333000001, 0.9966666667]"
1018,"[0.30666666670000003, 0.40333333330000004, 0.54, 0.7333333333000001, 0.8566666667, 0.9566666667, 0.9533333333, 0.9666666667, 0.9766666667, 1.0, 0.9933333333000001, 0.9866666667]"
1019,"[0.2933333333, 0.39333333330000003, 0.5566666667, 0.7466666667, 0.8300000000000001, 0.9366666667, 0.9433333333, 0.97, 0.9966666667, 0.9866666667, 0.9933333333000001, 0.9966666667]"
102,"[0.3466666667, 0.3833333333, 0.3566666667, 0.3966666667, 0.46, 0.5066666667, 0.48, 0.5433333333, 0.5566666667, 0.5433333333, 0.56, 0.5733333333]"
1020,"[0.3433333333, 0.4833333333, 0.55, 0.65, 0.8466666667, 0.9033333333, 0.9666666667, 0.98, 0.9966666667, 0.9866666667, 0.9966666667, 1.0]"
1021,"[0.3166666667, 0.44, 0.5466666667, 0.68, 0.8566666667, 0.9233333333, 0.93, 0.9833333333000001, 0.9833333333000001, 0.9833333333000001, 0.9966666667, 1.0]"
1022,"[0.3466666667, 0.4166666667, 0.5666666667, 0.6900000000000001, 0.8266666667, 0.9400000000000001, 0.9633333333, 0.9766666667, 0.9833333333000001, 0.99, 0.9933333333000001, 0.9966666667]"
1023,"[0.3533333333, 0.45333333330000003, 0.5933333333, 0.7266666667, 0.8366666667, 0.9066666667000001, 0.9466666667, 0.9566666667, 0.9866666667, 0.9833333333000001, 0.99, 0.9933333333000001]"
1024,"[0.34, 0.4466666667, 0.5566666667, 0.6866666667, 0.8633333333000001, 0.9233333333, 0.97, 0.9733333333, 0.97, 0.9866666667, 0.9866666667, 1.0]"
1025,"[0.32, 0.43666666670000004, 0.47000000000000003, 0.5633333333, 0.5700000000000001, 0.6533333333, 0.7666666667, 0.84, 0.8466666667, 0.8866666667, 0.91, 0.9266666667000001]"
1026,"[0.33, 0.41000000000000003, 0.43, 0.5433333333, 0.5633333333, 0.6766666667, 0.7433333333000001, 0.7933333333, 0.8433333333, 0.8733333333000001, 0.8866666667, 0.9166666667000001]"
1027,"[0.3233333333, 0.3833333333, 0.4566666667, 0.5066666667, 0.6266666667, 0.73, 0.76, 0.8200000000000001, 0.8366666667, 0.8566666667, 0.8866666667, 0.92]"
1028,"[0.3233333333, 0.3833333333, 0.4766666667, 0.5166666667, 0.63, 0.7233333333, 0.7466666667, 0.8466666667, 0.86, 0.8633333333000001, 0.8966666667000001, 0.97]"
1029,"[0.3166666667, 0.4133333333, 0.4733333333, 0.5566666667, 0.6733333333, 0.7233333333, 0.74, 0.76, 0.8233333333, 0.8633333333000001, 0.8933333333000001, 0.89]"
103,"[0.27, 0.37, 0.3233333333, 0.38, 0.46, 0.46, 0.46333333330000004, 0.5266666667000001, 0.48666666670000003, 0.54, 0.5366666667000001, 0.5533333333]"
1030,"[0.33333333330000003, 0.3966666667, 0.5, 0.5333333333, 0.6000000000000001, 0.72, 0.7533333333000001, 0.8266666667, 0.8300000000000001, 0.8466666667, 0.9033333333, 0.92]"
1031,"[0.3566666667, 0.39333333330000003, 0.4766666667, 0.54, 0.5966666667, 0.68, 0.73, 0.8, 0.8966666667000001, 0.9033333333, 0.9133333333, 0.9]"
1032,"[0.3233333333, 0.39333333330000003, 0.46333333330000004, 0.56, 0.6333333333, 0.6433333333, 0.7433333333000001, 0.8133333333, 0.8133333333, 0.8966666667000001, 0.9133333333, 0.91]"
1033,"[0.3133333333, 0.38, 0.47000000000000003, 0.5066666667, 0.5833333333, 0.6633333333, 0.75, 0.8433333333, 0.88, 0.9133333333, 0.8766666667, 0.9266666667000001]"
1034,"[0.3133333333, 0.41000000000000003, 0.46, 0.47000000000000003, 0.5533333333, 0.7000000000000001, 0.7533333333000001, 0.8066666667, 0.8533333333, 0.8733333333000001, 0.9066666667000001, 0.9166666667000001]"
1035,"[0.3033333333, 0.3966666667, 0.43666666670000004, 0.5033333333, 0.5666666667, 0.63, 0.7433333333000001, 0.8333333333, 0.8433333333, 0.8766666667, 0.9233333333, 0.9266666667000001]"
