,0,1,2,3,4,5,6,7,8
14,"[0.29666667 0.38666667 0.47666667 0.45333333 0.49333333 0.52333333
 0.59333333 0.70666667 0.65333333 0.71       0.68666667 0.77666667]","[0.32333333 0.41666667 0.44       0.48166667 0.54166667 0.61
 0.60666667 0.65       0.70166667 0.76       0.83166667 0.81833333]","          0
0  1.000000
1  0.333333
2  1.000000
3  1.000000","          0
0  1.000000
1  0.666667
2  1.000000
3  0.666667",0.5,3,0.1,0.05,0.3
15,"[0.33666667 0.39       0.39666667 0.49333333 0.50333333 0.50666667
 0.57       0.65       0.65       0.70333333 0.77       0.80666667]","[0.30333333 0.35333333 0.43833333 0.49333333 0.51666667 0.57166667
 0.65       0.68833333 0.67833333 0.77       0.79333333 0.84      ]","     0
0  1.0
1  1.0
2  1.0
3  1.0","          0
0  1.000000
1  1.000000
2  0.666667
3  0.666667",0.1,4,0.1,0.05,0.3
16,"[0.31333333 0.35       0.41666667 0.46666667 0.48       0.53333333
 0.58333333 0.6        0.65666667 0.68666667 0.74666667 0.8       ]","[0.32833333 0.38833333 0.42       0.46166667 0.50333333 0.57833333
 0.59666667 0.67       0.69666667 0.76166667 0.805      0.82666667]","          0
0  0.666667
1  0.666667
2  0.666667
3  1.000000","          0
0  0.666667
1  1.000000
2  1.000000
3  0.666667",0.2,4,0.1,0.05,0.3
17,"[0.37       0.38666667 0.44333333 0.49333333 0.57       0.49333333
 0.57333333 0.64333333 0.65666667 0.70333333 0.71666667 0.77333333]","[0.305      0.38666667 0.425      0.475      0.52333333 0.56166667
 0.57333333 0.67166667 0.71833333 0.76       0.78666667 0.82666667]","     0
0  1.0
1  1.0
2  1.0
3  1.0","          0
0  0.666667
1  1.000000
2  1.000000
3  1.000000",0.3,4,0.1,0.05,0.3
18,"[0.28666667 0.44666667 0.36666667 0.43       0.47       0.56
 0.57       0.62333333 0.65666667 0.71666667 0.76333333 0.73666667]","[0.37833333 0.365      0.415      0.515      0.51666667 0.545
 0.63333333 0.66333333 0.74166667 0.78       0.79       0.82166667]","          0
0  1.000000
1  0.666667
2  0.666667
3  1.000000","          0
0  1.000000
1  0.666667
2  1.000000
3  0.666667",0.4,4,0.1,0.05,0.3
19,"[0.35333333 0.37333333 0.36333333 0.43666667 0.51666667 0.52333333
 0.55333333 0.64       0.70333333 0.71333333 0.70666667 0.77666667]","[0.35833333 0.38666667 0.42666667 0.44666667 0.52833333 0.57166667
 0.63       0.65833333 0.67666667 0.77666667 0.78666667 0.85666667]","          0
0  1.000000
1  1.000000
2  0.666667
3  1.000000","          0
0  1.000000
1  0.666667
2  1.000000
3  1.000000",0.5,4,0.1,0.05,0.3
20,"[0.35       0.36333333 0.37       0.46333333 0.47666667 0.52
 0.59333333 0.64       0.67333333 0.65666667 0.79       0.82333333]","[0.32166667 0.39       0.405      0.46333333 0.47333333 0.59
 0.60666667 0.68333333 0.73666667 0.75833333 0.79       0.80166667]","          0
0  0.666667
1  1.000000
2  0.666667
3  1.000000","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.1,5,0.1,0.05,0.3
21,"[0.35666667 0.41333333 0.40666667 0.44666667 0.49666667 0.53333333
 0.59333333 0.62333333 0.64333333 0.72666667 0.77666667 0.78333333]","[0.31833333 0.36666667 0.44166667 0.48666667 0.52166667 0.58166667
 0.64       0.7        0.695      0.73333333 0.8        0.85      ]","          0
0  0.666667
1  0.666667
2  1.000000
3  1.000000","          0
0  0.666667
1  1.000000
2  1.000000
3  0.666667",0.2,5,0.1,0.05,0.3
22,"[0.29       0.41333333 0.42666667 0.41333333 0.47666667 0.54333333
 0.62333333 0.60333333 0.62       0.72333333 0.77333333 0.74      ]","[0.35       0.36666667 0.37333333 0.44666667 0.53166667 0.56833333
 0.61333333 0.68166667 0.72333333 0.74       0.80333333 0.82      ]","          0
0  1.000000
1  1.000000
2  0.666667
3  1.000000","          0
0  1.000000
1  1.000000
2  0.333333
3  0.666667",0.3,5,0.1,0.05,0.3
23,"[0.4        0.34333333 0.43666667 0.5        0.50333333 0.56
 0.55       0.60666667 0.69       0.72       0.72       0.75666667]","[0.30666667 0.35       0.40333333 0.46       0.49833333 0.54666667
 0.58166667 0.66166667 0.715      0.75666667 0.785      0.81333333]","          0
0  1.000000
1  1.000000
2  1.000000
3  0.333333","          0
0  1.000000
1  1.000000
2  1.000000
3  0.666667",0.4,5,0.1,0.05,0.3
24,"[0.30333333 0.38333333 0.41       0.46       0.51333333 0.58333333
 0.61333333 0.65333333 0.76       0.69333333 0.71       0.75666667]","[0.28666667 0.36166667 0.44166667 0.5        0.51       0.55
 0.62833333 0.635      0.72       0.73166667 0.8        0.81833333]","          0
0  1.000000
1  0.666667
2  0.666667
3  0.666667","          0
0  0.666667
1  0.666667
2  0.666667
3  1.000000",0.5,5,0.1,0.05,0.3
25,"[0.36333333 0.36333333 0.41333333 0.38666667 0.45666667 0.48
 0.52666667 0.48666667 0.51       0.54666667 0.56666667 0.54666667]","[0.35166667 0.37166667 0.33833333 0.39833333 0.43666667 0.43
 0.45833333 0.47       0.50333333 0.55333333 0.57833333 0.55      ]","          0
0  0.333333
1  0.333333
2  1.000000
3  0.333333","          0
0  0.666667
1  1.000000
2  0.666667
3  0.666667",0.1,1,0.2,0.05,0.3
26,"[0.33666667 0.38333333 0.38666667 0.44       0.42333333 0.45333333
 0.52666667 0.51       0.54333333 0.56333333 0.56       0.56      ]","[0.325      0.32666667 0.365      0.39333333 0.43333333 0.47
 0.465      0.485      0.505      0.53       0.555      0.585     ]","          0
0  0.666667
1  1.000000
2  0.666667
3  0.333333","          0
0  0.666667
1  1.000000
2  1.000000
3  0.666667",0.2,1,0.2,0.05,0.3
27,"[0.32666667 0.39666667 0.42       0.36666667 0.45333333 0.46
 0.45333333 0.53333333 0.52333333 0.59333333 0.60333333 0.61666667]","[0.355      0.37       0.375      0.38333333 0.44       0.42
 0.47833333 0.52       0.54       0.54333333 0.58166667 0.55333333]","          0
0  1.000000
1  0.000000
2  0.666667
3  0.000000","          0
0  0.333333
1  0.666667
2  0.666667
3  0.333333",0.3,1,0.2,0.05,0.3
28,"[0.31       0.34       0.41       0.42       0.51       0.47333333
 0.49333333 0.54333333 0.53333333 0.56333333 0.61333333 0.58666667]","[0.34666667 0.35833333 0.37666667 0.38833333 0.41       0.455
 0.49166667 0.47166667 0.52333333 0.53333333 0.54       0.56333333]","          0
0  1.000000
1  0.333333
2  0.000000
3  0.666667","          0
0  0.666667
1  0.666667
2  0.333333
3  1.000000",0.4,1,0.2,0.05,0.3
29,"[0.33333333 0.34       0.41       0.44666667 0.41333333 0.45333333
 0.51666667 0.54666667 0.56       0.55       0.59333333 0.61333333]","[0.365      0.35333333 0.385      0.40833333 0.40833333 0.43333333
 0.49       0.49666667 0.53166667 0.55833333 0.56666667 0.56      ]","          0
0  0.000000
1  0.666667
2  0.000000
3  0.333333","          0
0  0.333333
1  0.666667
2  0.666667
3  0.666667",0.5,1,0.2,0.05,0.3
