participant,Intromessage,initials,birthdate,age,sex,gender,ethnicity,race,education,handedness,nativeenglish,secondlang,whatseclang,LangClassification,colorblind,whatcolorblind,outromessage,CollinsNaming,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.e86ada9e-a00b-41c2-9478-9ac87c8ef52e.txt,10610,6785,7260,3124,2312,1498,2159,2074,3343,2014,2479,1801,"",2049,2358,"",791,"",43615,2020-06-05-01-34,2020-06-05-01-46,12
s.34b134a1-bcf5-493c-9317-57164e96b2e9.txt,2563,5290,10484,2622,1600,1100,3057,1614,3163,1935,1362,1810,3309,3031,2044,"",974,"",27124,2020-06-03-10-00,2020-06-03-10-08,8
s.096c265a-f8ef-4d8f-8ac7-857c8beee7c1.txt,39071,3675,6784,3969,3674,3692,3326,4223,14755,3053,2644,2308,"",29201,2985,"",4613,"",37210,2020-06-04-05-57,2020-06-04-06-14,17
s.68420212-a89f-4f81-bb9a-e135dfa73c9e.txt,25682,3335,7199,3480,2065,2548,7735,5902,3279,7918,2926,1193,4601,2305,3592,"",1221,"",7802,2020-06-03-08-17,"",""
s.7f965bea-4321-4915-b1b8-6635a73e502b.txt,23593,4573,4492,4354,1792,2716,3395,3320,6625,2525,1470,2828,4562,10894,2046,"",1899,"",5287,2020-06-02-23-52,2020-06-03-00-04,12
s.7e493962-8704-460c-96cf-a5d072625b69.txt,1191,2504,5569,2523,1977,1214,1603,1731,3985,2579,2676,1970,"",28697,2627,"",3012,"",3475,2020-06-03-03-15,2020-06-03-03-26,11
s.b598b2c0-2a73-4e7c-a0d6-6632a70afb48.txt,1175,4839,6055,6796,1960,1549,1485,1365,1905,1765,1575,970,3249,1663,1620,"",670,"",118381,2020-06-04-23-21,"",""
s.2ce72eda-1f7a-4402-bd66-a29675a0fe00.txt,1177,2923,5064,2327,2101,1408,1647,2232,2153,2119,1512,1666,"",1801,2848,"",840,"",11067,2020-06-03-05-14,2020-06-03-05-32,18
s.70ba2690-bd75-4e6d-99e4-3057fc9c7529.txt,21096,2821,4519,3524,3545,2047,2597,2333,5465,2074,2143,1930,"",8938,1898,"",2308,"",10880,2020-06-04-20-47,2020-06-04-20-57,10
s.b2a283cd-bb4f-4851-b3c7-25590cbf8932.txt,3882,4983,8186,3525,2403,2894,5030,3737,5717,2752,2914,5708,"",37392,3028,"",2086,"",4858,2020-06-05-02-08,"",""
s.9158261d-e6ec-41bf-9b49-e6eada3a41e2.txt,1047,2450,3805,3602,1444,1047,1401,2925,3084,1813,1079,1338,2959,2159,1479,"",694,"",6479,2020-06-04-23-43,2020-06-04-23-52,9
s.d7a1f685-57b3-4016-b70a-50a735377bc8.txt,1953,2699,6480,2575,2045,2929,2384,2788,5947,2256,2518,5155,2979,14692,1966,"",1821,"",11029,2020-06-04-03-48,2020-06-04-04-00,12
